,Station Name,Address  1,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select
106,PIE AE / PUB-STDAVIDSST2,710 Trinity St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,J1772,240V,J1772,"30.268895, -97.739056",$4.17/month PIE members $2/hr Non-Members,40A
107,FROST / 1,106 E 6th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.268028, -97.742388",$4.17/month PIE members $2/hr Non-Members,40A
108,NATIONAL INSTRU / 7&8,11500 N Mopac Expy,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.408505, -97.727699",$4.17/month PIE members $2/hr Non-Members,40A
109,HANOVER / LANTANA HILLS,6601Rialto Blvd,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.24912, -97.862418",$4.17/month PIE members $2/hr Non-Members,40A
110,FOUNDATION COMM / JORDAN1,2724 Philomena St,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.298721, -97.694754",$4.17/month PIE members $2/hr Non-Members,40A
111,PIE AE / HEB 6EA1,1000 E 41st St,Austin,Texas,78751,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parking,J1772,240V,J1772,"30.29923, -97.721107",$4.17/month PIE members $2/hr Non-Members,40A
112,LAMARHEIGHTS-AE / LAMAR 1,5400 N Lamar Blvd,Austin,Texas,78751,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.322464, -97.7292",$4.17/month PIE members $2/hr Non-Members,40A
113,ENDEAVOR REG / VILL WESTLAKE 1,701 S Capital of Texas Hwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.291332, -97.826267",$4.17/month PIE members $2/hr Non-Members,40A
114,LCPM / GARAGE 1,3800 N. Lamar Blvd,Austin,Texas,78756,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,--,--,"30.306188, -97.743433",$4.17/month PIE members $2/hr Non-Members,40A
115,3600WESTPARMER! / STATION1,3600 W Parmer Ln,Austin,Texas,78727,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Retail,J1772,240V,J1772,"30.424046, -97.710431",$4.17/month PIE members $2/hr Non-Members,30A
116,GARAGE 1 / GARAGE ONE,5010 S Congress Ave,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.211727, -97.772285",$4.17/month PIE members $2/hr Non-Members,40A
117,NATIONAL INSTRU / 13&14;,11500 N Mopac Expy,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.408775, -97.725228",$4.17/month PIE members $2/hr Non-Members,40A
118,AISD PAC / AISD PAC #3,1301-1603 E 51st St,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Education,J1772,240V,J1772,"30.305343, -97.702408",$4.17/month PIE members $2/hr Non-Members,40A
119,ENDEAVOR REG / LEVEL 2 - #3,4301 Bull Creek Rd,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.317724, -97.755038",$4.17/month PIE members $2/hr Non-Members,40A
120,WEINSTEIN / TECH RIDGE 1,1200 E Parmer Ln,Austin,Texas,78753,1,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,--,--,"30.39479, -97.653249",$4.17/month PIE members $2/hr Non-Members,40A
121,HYATT PLACE / HP STATION 2,Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Hospitality,J1772,240V,J1772,"30.21042, -97.664868",$4.17/month PIE members $2/hr Non-Members,40A
122,MUELLER MARKET / MUELLER 2,1801 E 51st St,Austin,Texas,78723,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Retail,J1772,--,--,"30.302981, -97.698722",$4.17/month PIE members $2/hr Non-Members,40A
123,PIE AE / PALMER STATION4,846888 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.259769, -97.752509",$4.17/month PIE members $2/hr Non-Members,40A
124,WETT / 2,1901 Capital Pkwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.259647, -97.797865",$4.17/month PIE members $2/hr Non-Members,40A
125,YETI RAMBLERS / EVSE #2,7601 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.255806, -97.872517",$4.17/month PIE members $2/hr Non-Members,40A
126,DEVLOPER / TRAMMELL CROW 4,500 W 2nd St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.265914, -97.749008",$4.17/month PIE members $2/hr Non-Members,40A
127,ENDEAVOR REG / 2500 BEE CAVES1,2500 Bee Caves Rd.,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.267411, -97.783384",$4.17/month PIE members $2/hr Non-Members,40A
128,AMD GO GREEN / P100 FLOOR 5,7171 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.251499, -97.863984",$4.17/month PIE members $2/hr Non-Members,40A
129,ENDEAVOR REG / LEVEL 3 - #1,4301 Bull Creek Rd,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.317673, -97.75496",$4.17/month PIE members $2/hr Non-Members,40A
130,PIE AE / TRAVIS CO L2,316 W 8th St,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parking,J1772,--,--,"30.270944, -97.744761",$4.17/month PIE members $2/hr Non-Members,40A
131,SALTILLO / BLOCK 4,1211 E 5th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.263204, -97.730621",$4.17/month PIE members $2/hr Non-Members,40A
132,PIE AE / PUBGABLES 5TH 1,1611 W 5th St,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.274209, -97.764758",$4.17/month PIE members $2/hr Non-Members,40A
133,HEB / HEB LAKEWAY #2,2000 Ranch Rd 620 S,Lakeway,Texas,78734,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Retail,J1772,240V,J1772,"30.344254, -97.967587",$4.17/month PIE members $2/hr Non-Members,30A
134,HPI 3700 / EV 1,3700 N Capital of Texas Hwy,Austin,Texas,78746,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,--,--,"30.33688, -97.806575",$4.17/month PIE members $2/hr Non-Members,40A
135,ENDEAVOR REG / 2500 BEE CAVES3,2500 Bee Caves Rd.,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.267392, -97.783453",$4.17/month PIE members $2/hr Non-Members,40A
136,REPUBLICSQUARE / GABLES REPUB3,213 W 4th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.266573, -97.74553",$4.17/month PIE members $2/hr Non-Members,40A
137,COLONIAL CTR HR / STATION 2,607 W 3rd St,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.26652, -97.750175",$4.17/month PIE members $2/hr Non-Members,40A
138,PIE AE / PUB ACC NRIDGE1,Campus Dr,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.404194, -97.705465",$4.17/month PIE members $2/hr Non-Members,40A
139,PRESIDIUM / LAUREL,8312 Fathom Cir,Austin,Texas,78750,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.436594, -97.777617",$4.17/month PIE members $2/hr Non-Members,40A
140,PIE AE / ANIMAL SERVICE1,7201 Levander Loop,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.251369, -97.689082",$4.17/month PIE members $2/hr Non-Members,40A
141,LADERA BEND / BUILDING 1,7300 Ranch Rd 2222,Austin,Texas,78750,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.373991, -97.802572",$4.17/month PIE members $2/hr Non-Members,40A
142,FOUNDRY / STATION 3,310 Comal St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.261051, -97.72782",$4.17/month PIE members $2/hr Non-Members,40A
143,CZPROPERTIES / FLOOR 3 UNIT 2,1400 Lavaca St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.276966, -97.742726",$4.17/month PIE members $2/hr Non-Members,40A
144,PARK&ZOOM / VALET #3,9518 Hotel Dr,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.211718, -97.662318",$4.17/month PIE members $2/hr Non-Members,40A
145,ENDEAVOR REG / LEVEL 3 - #2,4301 Bull Creek Rd,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.317707, -97.754977",$4.17/month PIE members $2/hr Non-Members,40A
146,COA FLEET - PIE / ED BLUE #3,4101 Ed Bluestein Blvd,Austin,Texas,78721,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Municipal,J1772,240V,J1772,"30.277002, -97.667036",$4.17/month PIE members $2/hr Non-Members,40A
147,WEINSTEIN / ANDERSON 1,8601 Anderson Mill Rd,Austin,Texas,78729,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.455107, -97.768221",$4.17/month PIE members $2/hr Non-Members,40A
148,NATIONAL INSTRU / 9&10;,11500 N Mopac Expy,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.408686, -97.725307",$4.17/month PIE members $2/hr Non-Members,40A
149,COLONIAL CTR HR / STATION 1,607 W 3rd St,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.266521, -97.75022",$4.17/month PIE members $2/hr Non-Members,40A
150,PALOMA RIDGE / PALOMA1B,13620 Ranch Rd 620 N,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.477229, -97.777396",$4.17/month PIE members $2/hr Non-Members,40A
151,HEB / HEB LAKEWAY #1,2000 Ranch Rd 620 S,Lakeway,Texas,78734,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Retail,J1772,--,--,"30.344323, -97.967673",$4.17/month PIE members $2/hr Non-Members,40A
152,ENCINO STATIONS / STATION 3,5707 Southwest Pkwy,Austin,Texas,78735,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,--,--,"30.243737, -97.84575",$4.17/month PIE members $2/hr Non-Members,40A
153,PIE AE / PUBACCSVSCTRST1,9101 Tuscany Way,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.344088, -97.665823",$4.17/month PIE members $2/hr Non-Members,40A
154,ENDEAVOR REG / LEVEL 2 - #2,4301 Bull Creek Rd,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.317689, -97.755015",$4.17/month PIE members $2/hr Non-Members,40A
155,AUSTIN / 400 - 1,400 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.265028, -97.748448",$4.17/month PIE members $2/hr Non-Members,40A
156,PIE AE / PUBACCHIGHLAND2,5930 Middle Fiskville Rd,Austin,Texas,78752,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.322727, -97.712799",$4.17/month PIE members $2/hr Non-Members,40A
157,HPI 3700 / EV 3,3700 N Capital of Texas Hwy,Austin,Texas,78746,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,--,--,"30.336765, -97.806189",$4.17/month PIE members $2/hr Non-Members,40A
158,WETT / 1,1901 Capital Pkwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.259634, -97.79807",$4.17/month PIE members $2/hr Non-Members,40A
159,1224 E 12 / PAD STATION 1,1224 E 12th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.272869, -97.726713",$4.17/month PIE members $2/hr Non-Members,40A
160,PIE AE / MILWOOD LIB 2,12500 Amherst Dr,Austin,Texas,78727,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.422284, -97.71646",$4.17/month PIE members $2/hr Non-Members,40A
161,PIE AE / PUBDITTMAR2,1009 W Dittmar Rd,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parks and Recreation,J1772,240V,J1772,"30.185301, -97.80118",$4.17/month PIE members $2/hr Non-Members,40A
162,300W / 300 W 6TH,300 W 6th,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.271337, -97.746036",$4.17/month PIE members $2/hr Non-Members,40A
163,ACC-AE / RIO GRANDE GAR1,824 W 12th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Education,J1772,240V,J1772,"30.276433, -97.749429",$4.17/month PIE members $2/hr Non-Members,40A
164,RPP GARAGE / GARAGE 2,12455 Research Park Loop,Austin,Texas,78727,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.429442, -97.755212",$4.17/month PIE members $2/hr Non-Members,40A
165,PENNYBACKER / AQUILA BRDG PT1,6504 Bridge Point Pkwy,Austin,Texas,78730,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.355378, -97.802874",$4.17/month PIE members $2/hr Non-Members,40A
166,COA FLEET - PIE / ED BLUE #1,4101 Ed Bluestein Blvd,Austin,Texas,78721,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Municipal,J1772,240V,J1772,"30.277058, -97.666953",$4.17/month PIE members $2/hr Non-Members,40A
167,INT-BIO EV CHGR / INTBIO EV CHGR2,8206 Cross Park Dr,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.330901, -97.668947",$4.17/month PIE members $2/hr Non-Members,40A
168,COA / NEWCENTRALLIB4,710 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,J1772,240V,J1772,"30.266132, -97.751803",$4.17/month PIE members $2/hr Non-Members,40A
169,PIE AE / PUBACCPINNACLE1,7748 Hwy 290 W,Austin,Texas,78736,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,NEMA 5-20R,240V,J1772,"30.231403, -97.883194",$4.17/month PIE members $2/hr Non-Members,40A
170,CZPROPERTIES / FLOOR 2 UNIT 2,1400 Lavaca St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.277056, -97.742637",$4.17/month PIE members $2/hr Non-Members,40A
171,PIE AE / PUB UTANTONIO 1,2420 San Antonio St,Austin,Texas,78705,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parking,J1772,240V,J1772,"30.288683, -97.742575",$4.17/month PIE members $2/hr Non-Members,40A
172,DSMCUT / EVSE05 FLOOR L3,501-573 E 15th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Healthcare,J1772,240V,J1772,"30.275245, -97.734566",$4.17/month PIE members $2/hr Non-Members,40A
173,DSMCUT / EVSE07 FLOOR L1,501-573 E 15th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Healthcare,J1772,240V,J1772,"30.275236, -97.734569",$4.17/month PIE members $2/hr Non-Members,40A
174,PIE AE / RUTHERFORDCAMP2,8301 Cameron Rd,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.337168, -97.680607",$4.17/month PIE members $2/hr Non-Members,40A
175,ENDEAVOR REG / 901 E 6TH ST 5,901 E 6th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.265144, -97.733277",$4.17/month PIE members $2/hr Non-Members,40A
176,PIE AE / ROSEWOOD PARK2,Rosewood Neighborhood Park Pedestrian Walkway,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.271778, -97.713958",$4.17/month PIE members $2/hr Non-Members,40A
177,PALOMA RIDGE / PALOMA BDG C #1,13620 N FM 620,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.47781, -97.77879",$4.17/month PIE members $2/hr Non-Members,40A
178,PIE AE / RUTHERFORDCAMP1,8301 Cameron Rd,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.337138, -97.680658",$4.17/month PIE members $2/hr Non-Members,40A
179,PARKING LEVEL 1 / KENZIE 2,11301 Domain Dr,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.399504, -97.723519",$4.17/month PIE members $2/hr Non-Members,40A
180,PIE AE / OTC 3FL PKGSTA3,505 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.256917, -97.749169",$4.17/month PIE members $2/hr Non-Members,40A
181,PIE AE / PUBLOSTPARROTS1,15116 Storm Dr,Austin,Texas,78734,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,NEMA 5-20R,240V,J1772,"30.382643, -97.933861",$4.17/month PIE members $2/hr Non-Members,40A
182,ENDEAVOR REG / VILL WESTLAKE 2,701 S Capital of Texas Hwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.291349, -97.826317",$4.17/month PIE members $2/hr Non-Members,40A
183,COA / NEWCENTRALLIB1,710 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,J1772,240V,J1772,"30.266102, -97.751667",$4.17/month PIE members $2/hr Non-Members,40A
184,SAS / SAMSUNG 3,12100 samsung blvd,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.377424, -97.639722",$4.17/month PIE members $2/hr Non-Members,40A
185,SCHOOL / AKINS1,10701 S 1st St.,Austin,Texas,78748,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Education,J1772,240V,J1772,"30.147634, -97.801294",$4.17/month PIE members $2/hr Non-Members,40A
186,PIE AE / CITY HALL STAT2,400 W 2nd St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.264945, -97.747",$4.17/month PIE members $2/hr Non-Members,40A
187,PARK PLAZA / STATION2,115 Sandra muraida way,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.267321, -97.754548",$4.17/month PIE members $2/hr Non-Members,40A
188,HPI 3700 / EV 5,4339 N Capital of Texas Hwy,Austin,Texas,78746,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,--,--,"30.336623, -97.807619",$4.17/month PIE members $2/hr Non-Members,40A
189,GAINESRANCH / GAINES 1,4424 Gaines Ranch Loop,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.244044, -97.818364",$4.17/month PIE members $2/hr Non-Members,40A
190,PARK&ZOOM / VALET #5,9518 Hotel Dr,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.211668, -97.661771",$4.17/month PIE members $2/hr Non-Members,40A
191,PIE AE / PUBHILL.CGAL1,12901 Hill Country Blvd,Bee Cave,Texas,78738,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.309283, -97.94238",$4.17/month PIE members $2/hr Non-Members,40A
192,PIE AE / PUB DELL3,1345 Philomena St,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.302489, -97.706912",$4.17/month PIE members $2/hr Non-Members,40A
193,ROSCOE PROPERTI / TIMBERCREEK 1,614 S 1st St,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.256475, -97.751759",$4.17/month PIE members $2/hr Non-Members,40A
194,ACC-AE / NORTHRIDGE2,11928 Stonehollow,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.404151, -97.705712",$4.17/month PIE members $2/hr Non-Members,40A
195,PIE AE / ANIMAL SERVICE2,7201 Levander Loop,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.251357, -97.689015",$4.17/month PIE members $2/hr Non-Members,40A
196,AUSTIN / AUSTIN 200 1,200 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.264423, -97.746071",$4.17/month PIE members $2/hr Non-Members,40A
197,HABITAT SUITES / SINGLE PORT,500 E Highland Mall Blvd,Austin,Texas,78752,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,--,--,"30.329076, -97.709553",$4.17/month PIE members $2/hr Non-Members,40A
198,PIE AE / PUB UTPICKLE1,Rd A,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.389653, -97.725036",$4.17/month PIE members $2/hr Non-Members,40A
199,ROSCOE PROPERTI / VOLUME MAIN,1715 E 32nd St,Austin,Texas,78722,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.28544, -97.715107",$4.17/month PIE members $2/hr Non-Members,40A
200,AVIATION / 1ST FLOOR GARAG,3201 Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.204582, -97.669275",$4.17/month PIE members $2/hr Non-Members,30A
201,MIRA VISTA / STATION 1,2705 Bee Cave Rd,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.269525, -97.786972",$4.17/month PIE members $2/hr Non-Members,40A
202,PIE AE / PALMER STATION7,846-888 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parking,J1772,240V,J1772,"30.259966, -97.752658",$4.17/month PIE members $2/hr Non-Members,40A
203,PARK&ZOOM / VALET #4,9518 Hotel Dr,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.21145, -97.662103",$4.17/month PIE members $2/hr Non-Members,40A
204,AMD GO GREEN / P100 FL4 INNER,7171 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.251073, -97.863136",$4.17/month PIE members $2/hr Non-Members,40A
205,1801 E 6TH / AUSTIN 1801 2,1805 E 6th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.261673, -97.723468",$4.17/month PIE members $2/hr Non-Members,40A
206,STATION 1 / PLAZA 1,5001 Plaza on the Lake,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.347873, -97.800826",$4.17/month PIE members $2/hr Non-Members,40A
207,PIE AE / PALMER STATION3,736-820 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.259236, -97.751809",$4.17/month PIE members $2/hr Non-Members,40A
208,COA FLEET - PIE / RUTHERFORD #6,1520 Rutherford Ln,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.335842, -97.679443",$4.17/month PIE members $2/hr Non-Members,40A
209,CZPROPERTIES / FLOOR 3 UNIT 1,1400 Lavaca St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.277158, -97.743015",$4.17/month PIE members $2/hr Non-Members,40A
210,AMD GO GREEN / P100 FL3 RIGHT,7171 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.250807, -97.861717",$4.17/month PIE members $2/hr Non-Members,40A
211,PARK&ZOOM / VALET #2,2601 Cardinal Loop,Austin,Texas,78617,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.213452, -97.657691",$4.17/month PIE members $2/hr Non-Members,40A
