name,address,longitude,latitude,location_category,location_sub_category,description,open_date,parking,pricing,free_use,contact,networks,total_plugs,port_level_type,renewable_power_supply,power_outputs_kw,Plugs_CHAdeMO,Plugs_Tesla,Plugs_CCS_SAE,Plugs_J1772,Plugs_Type2,Plugs_Three_Phase,Plugs_Commando,Plugs_Wall_AU_NZ,Plugs_Caravan_Mains_Socket,Plugs_Other,source,source_date
AUSTIN / AUSTIN 200 2,200 W Cesar Chavez St,-97.7461,30.2645,Workplace,High-Tech,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / PUBWYNDHAMGARD1,1600-1628 Woodward St,-97.7464,30.2228,Parking,Commercial,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
FOUNDATION COMM / STATION 01,11015 four points dr,-97.8469,30.3992,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
COA FLEET - PIE / FLOOR 4,900 N Interstate Hwy 35,-97.7343,30.269,Municipal,Municipal Fleet,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
NATIONAL INSTRU / 17&18;,11500 N Mopac Expy,-97.7277,30.4085,Workplace,High-Tech,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
SCHOOL / LANIER1,1201 Payton gin rd.,-97.7096,30.3602,Education,High School / Other,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
HANOVER / L7,110 San Antonio St,-97.7491,30.2652,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,1.0,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
ENDEAVOR REG / DELLANA LN 1,2602 Dellana Ln,-97.7838,30.2683,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
CITY VIEW / STATION2,1120 S Capital of Texas Hwy,-97.8249,30.283,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
AVIATION / 2ND FLOOR L,3201 Presidential Blvd,-97.6694,30.2047,Parking,Airport,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
SALTILLO / BLOCK 2,1011 E 5th St,-97.7327,30.264,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
RPP GARAGE / ISLAND 2,12301 Research Blvd,-97.7544,30.428,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,1.0,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
16 / OAKVILLE APTS,7011 W Parmer Ln,-97.7493,30.4508,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
HPI 3700 / 3900 SC #1,3900 N Capital of Texas Hwy,-97.8079,30.3379,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
AMD GO GREEN / P100 FL3 LEFT,7171 Southwest Pkwy,-97.8617,30.2508,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PARMER AUSTIN / PIC #2,13011c McCallen Pass,-97.6593,30.4096,Workplace,High-Tech,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
HPI 3700 / EV 4,3700 N Capital of Texas Hwy,-97.8063,30.3367,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,1.0,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
ENDEAVOR REG / 901 E 6TH ST 4,901 E 6th St,-97.7334,30.265,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
LADERA BEND / GATED GARAGE 2,7300 Ranch Rd 2222,-97.8017,30.3722,Workplace,High-Tech,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
HANOVER / L5,110 San Antonio St,-97.7491,30.2653,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,1.0,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
PARMER AUSTIN / STATION PIC 4,509 E Howard Ln,-97.6528,30.412,Workplace,High-Tech,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / PUB-CENTRALMKTS,4465-4475 S Lamar Blvd,-97.7984,30.2323,Parking,Commercial,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
RAINEY STREET / MILLENNIUM 01,91 Rainey St,-97.7378,30.2608,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PALOMA RIDGE / PALOMA BDG C #3,13620 N FM 620,-97.779,30.4777,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
AVIATION / 5TH FLOOR,3201 Presidential Blvd,-97.6696,30.2047,Parks and Recreation,,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / PUBPEARSONH LN1,400 Center Ridge Dr,-97.6642,30.4174,Parking,Commercial,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
AISD PAC / AISD PAC #1,Mueller Blvd,-97.7027,30.3055,Education,High School / Other,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / RUTHERFORD #8,1520 Rutherford Ln,-97.6808,30.3378,Municipal,Municipal Workplace,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
ENDEAVOR REG / 901 E 6TH ST 2,901 E 6th St,-97.7335,30.265,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
ENCINO STATIONS / ARM EMPLOYEES,5707 Southwest Pkwy,-97.8462,30.2437,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / MACC STATION 2,600 River St,-97.7395,30.2585,Municipal,Municipal Workplace,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / RIO2 REMOVED SC,1212 Rio Grande St,-97.7472,30.2772,Parking,Commercial,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / NWRECCENTER 1,2913 Marilyn Dr,-97.7514,30.334,Parking,Commercial,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / PUBACCSOAUSTIN1,5517 Manchaca Rd,-97.7963,30.216,Parking,Commercial,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[7.2],,0,,,,,,,,,Unknown,30/05/2022
ST. JOHNS WEST / JOHNS E,601 W St Johns Ave,-97.7148,30.3378,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
REPUBLICSQUARE / GABLES REPUB2,217B W 4th St,-97.7457,30.2668,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / PUBCHASEESCAL1,4301 Westbank Dr,-97.8171,30.2757,Parking,Commercial,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
CHAMPION OFFICE / EV #1,6433 Champion Grandview Way,-97.7936,30.3631,Parking,Commercial,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
FLATIRON DOMAIN / FLATIRON DOM 1,10727 Domain Dr,-97.7256,30.3937,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[7.2],,0,,,,,,,,,Unknown,30/05/2022
SCHOOL / TRAVIS2,1211 E Oltorf St.,-97.7438,30.2322,Education,High School / Other,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / PUBACCPINNACLE2,7748 Hwy 290 W,-97.8832,30.2314,Parking,Commercial,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
AMBEROAKS-AE / AMBER 1,9001 Amberglen Blvd,-97.7664,30.47,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
COA FLEET - PIE / MEINARD #2,4393-4799 Meinardus Dr,-97.7521,30.2114,Municipal,Municipal Fleet,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
FOUNDRY / STATION 4,310 Comal St,-97.7278,30.2611,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / CONVENTION CTR1,111 Congress Ave,-97.7434,30.2638,Parking,Commercial,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
CEDARHILLS-AE / CEDARHILL 1,4100 W Slaughter Ln,-97.8564,30.1896,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
