name,address,longitude,latitude,description,parking,pricing,contact,networks,total_plugs,renewable_power_supply,Plugs_CHAdeMO,Plugs_Tesla,Plugs_CCS_SAE,Plugs_J1772,Plugs_Type2,Plugs_Three_Phase,Plugs_Commando,Plugs_Wall_AU_NZ,Plugs_Caravan_Mains_Socket,Plugs_Other,power_outputs_kw,source,source_date
Tesla Destination Charger,"3 Oxleys Rd, Kettering",147.2466391,-43.1291971,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"229 Radnor Rd, Port Arthur",147.8054148,-43.1556443,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"6955 Arthur Hwy, Port Arthur",147.8549926,-43.1389891,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"6957 Huon Hwy, Dover",147.0145969,-43.3109428,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"712 Adventure Bay Rd, Adventure Bay",147.3283702,-43.3609394,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"3959 Bruny Island Main Rd, Alonnah",147.2425011,-43.3218536,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"Albert St, Kerang",143.921462,-35.7344144,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Evie Charging Station,"Gateway Visitor Centre, King George St, Cohuna",144.2212972,-35.8083922,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"154 Campbell Rd, Cobram",145.6598459,-35.9308017,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"40 Silverwoods Blvd, Yarrawonga",146.0378155,-36.0021995,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
