Unnamed: 0,Location Name,Latitude,Longitude,Town,Postal Code,City,Address,Plugs_Type2,Plugs_Three_Phase,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Caravan_Mains_Socket,Plugs_wall_AU/NZ,Power 1,charging_stations,Nearby EVStations,Hospitals,Parks,Restaurants,Malls,Supermarkets,Coffee,School
56,Evie Charging Station,-36.75541431,144.2870008,Bendigo,3550,Bendigo,Gaol Rd,0,0,1,1,0,0,0,0,40,2.2,6,8,13,20,20,11,2,3
57,Childers,-25.23560702,152.2788755,Childers,4660,N.A,"1-3 Crescent St, Childers QLD 4660, Australia",1,0,1,1,0,0,0,0,50,4,1,1,7,9,0,5,6,4
58,Foreshore Camping,-38.359707,144.888748,N.A,3940,Melbourne,"1380 Point Nepean Rd, Rosebud VIC 3939, Australia",0,0,0,0,0,0,0,1,24.2,1,0,1,8,20,2,7,4,2
59,Kingston Village Square (DC Fast Charger),-38.246677,144.540122,N.A,3226,N.A,"Kingston Village Square, Grubb Rd, Ocean Grove VIC 3226, Australia",2,0,1,1,0,0,0,0,50,4,1,0,5,15,1,2,4,1
60,Springvale MEGA Centre,-37.94168,145.167746,N.A,3171,Melbourne,"754-769 Princes Hwy, Springvale VIC 3171, Australia",2,0,0,0,0,0,0,0,10.8,2,4,0,6,20,1,7,1,0
61,Greensborough Plaza,-37.702301,145.102344,N.A,3088,Melbourne,"25 Main St, Greensborough VIC 3088, Australia",4,0,0,0,0,0,0,0,19,4,2,2,14,20,6,7,10,3
62,Miriam Vale,-24.32778446,151.5601492,Miriam Vale,N.A,N.A,"39 Blomfield St, Miriam Vale QLD 4677, Australia",2,0,1,1,0,0,0,0,50,3,1,0,4,4,0,1,2,1
63,Tooronga Village,-37.845907,145.046669,N.A,3123,Melbourne,"766 Toorak Rd, Glen Iris VIC 3146",0,0,0,0,2,0,0,0,22,2,4,1,14,20,3,5,4,0
64,Collingwood Library,-37.804471,144.99327,N.A,3067,Melbourne,"13 Stanton St, Abbotsford VIC 3067, Australia",0,0,4,4,0,0,0,0,50.065,8,12,4,14,20,1,20,0,2
65,Bollygum Park,-37.529366,145.339116,N.A,3763,N.A,"Bollygum Park, 40 Whittlesea-Kinglake Rd, Kinglake VIC 3763, Australia",0,0,0,0,0,0,0,1,24.2,1,1,0,2,3,0,1,0,0
66,Woolworths Heidelberg,-37.758997,145.068632,N.A,3084,Melbourne,"451 Lower Heidelberg Rd, Heidelberg VIC 3084, Australia",16,0,0,0,0,0,0,0,19,16,2,4,17,20,2,7,1,2
67,QESH - Port Douglas,-16.5271215,145.4631622,N.A,4877,N.A,143 - 145 Port Douglas Road Port Douglas QLD 4877 AU,1,0,1,1,0,0,0,0,50,3.4,1,0,4,5,0,1,1,1
68,Corsair Solutions,-37.76693229,145.0308257,N.A,3078,Melbourne,"370 Darebin Rd, Thornbury VIC 3071, Australia",1.2,0,2,2,0,0,0,0,70.026,4.6,2,0,15,20,2,11,1,0
69,Wilson’s Carpark,-37.835734,144.973525,N.A,3004,Melbourne,"1-3 Queens Road, Melbourne VIC 3004, Australia",0,0,0,0,0,0,0,1,24.2,1,19,3,19,20,2,12,4,5
70,Phillip Island Visitor Information Centre,-38.515001,145.348261,N.A,3925,N.A,"895 Phillip Island Road, Newhaven‎ VIC‎ 3925, Australia",0,0,0,0,0,0,0,1,24.2,1,0,0,7,10,2,3,0,0
71,Alto Hotel,-37.816254,144.954636,N.A,3000,Melbourne,"636 Bourke St, Melbourne VIC 3000, Australia",0,1,0,0,3,1,0,2,31,7,20,2,20,20,20,20,17,5
72,Oakleigh South,-37.932688,145.097119,N.A,3167,Melbourne,"23-25 Bunney Road, Oakleigh South VIC 3167, Australia",1,0,0,0,0,0,0,0,7,1,3,0,11,13,2,2,0,0
73,Queen Victoria Market - Underground Carpark,-37.807804,144.958282,N.A,3000,Melbourne,"460 Queen St, Melbourne VIC 3000, Australia",12,0,0,0,0,0,0,0,19,12,19,9,15,20,20,20,10,0
74,Quest Mont Albert,-37.815833,145.10738,N.A,3131,Melbourne,"741-745 Whitehorse Road, Mont Albert VIC 3127, Australia",0,0,0,0,0,0,0,3,45,3,1,4,14,20,1,7,1,0
75,Collins St,-37.81496609,144.9700935,N.A,3000,Melbourne,"123 Collins St, Melbourne VIC 3000, Australia",0,0,0,0,1,0,0,0,15,1,18,11,17,20,20,20,16,2
76,IKEA Richmond,-37.812895,145.010271,N.A,3121,Melbourne,"630 Victoria St, Richmond VIC 3121, Australia",4,0,0,0,0,0,0,0,19,4,6,2,16,20,2,11,1,1
77,Melbourne Richmond Supercharger,-37.83170783,144.9965223,N.A,3121,Melbourne,"650 Church St, Cremorne VIC 3121, Australia",0,0.2,0,0,4,0.2,0,0,40.4,4.6,16,0,15,20,5,11,5,0
78,Nelson Place Parking/Charging,-37.863107,144.904614,N.A,3016,Melbourne,"Commonwealth Reserve, Williamstown VIC 3016, Australia",2,0,0,0,0,0,0,0,10.8,2,1,1,13,20,0,2,5,1
79,Dandenong Market - Southern Car Park (Coming Soon),-37.984494,145.216329,N.A,3175,Melbourne,"40 Cleeland St, Dandenong VIC 3175, Australia",0,0,0,0,0,1,0,0,12.72,1,2,6,10,20,11,20,6,0
80,Monash University Clayton - Car Park N1,-37.908137,145.131936,N.A,3800,Melbourne,"10 Research Way, Clayton VIC 3168, Australia",2,0,1,1,0,0,0,0,50,4,5,2,4,20,0,6,3,0
81,Bru4U Geelong,-38.172122,144.367288,N.A,3220,Geelong,"4/100 Barwon Terrace, South Geelong VIC 3220, Australia",1,0,0,0,0,0,0,0,14.6,1,0,0,3,12,0,1,0,0
82,Evie Charging Station,-35.94048354,144.7255162,Echuca,2731,N.A,438 High St,0,0,1,1,0,0,0,0,40,2.2,0,0,0,0,0,0,0,0
83,Brunswick EV Hub,-37.773851,144.961886,N.A,3056,Melbourne,"15 Edward St, Brunswick VIC 3056, Australia",2,0,2,2,0,0,0,0,50,6,2,1,18,20,3,15,6,2
84,Richmond Traders Coles,-37.817041,144.998664,N.A,3121,Melbourne,"46 Cameron St, Richmond VIC 3121, Australia",2,0,0,0,0,0,0,0,10.8,2,8,2,10,20,3,20,7,0
85,Queen St,-37.80782358,144.9581717,N.A,3000,Melbourne,"460 Queen St, Melbourne VIC 3000, Australia",12,0,0,0,0,0,0,0,19,12,19,9,15,20,20,20,10,0
86,Tesla Destination Charger,-37.33350334,144.1426209,Daylesford,3460,N.A,4 King St,0,0,0,0,1,0,0,0,23.6,1,3,2,8,20,2,10,0,0
87,Tesla Destination Charger,-36.02622585,146.4590455,Rutherglen,3685,N.A,217 Main St,0,0,0,0,1,0,0,0,23.6,1,0,0,1,0,0,0,0,0
88,David Street Car Park,-37.771404,144.962021,N.A,3056,Melbourne,"1 David St, Brunswick, Victoria, Australia, 3056",2,0,0,0,0,0,0,0,10.8,2,2,1,17,20,4,19,1,1
89,Port Melbourne,-37.82377034,144.9265125,N.A,3207,Melbourne,"2 Thackray Rd, Port Melbourne VIC 3207, Australia",0,0,1,1,0,0,0,0,50,2,6,0,6,10,2,2,2,0
90,Lonsdale St,-37.81005952,144.9696999,N.A,3000,Melbourne,"Corner Exhibition & Lonsdale St, Melbourne VIC 3000, Australia",0,0,0,0,1,0,0,0,15,1,17,10,19,20,20,20,11,2
91,Rosebud Beach,-38.355584,144.901769,N.A,3940,Melbourne,"980 Point Nepean Road, Rosebud VIC 3939, Australia",0,0,0,0,0,0,0,3,45,3,0,1,10,20,1,9,1,0
