,Station Name,Address  1,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select,latitude,longitude,evstations_count,hospitals_count,parks_count,restaurants_count,url
277,ROSCOE PROPERTI / CURRENT MAIN,2057-2105 Willow Creek Dr,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.231758, -97.729473",$4.17/month PIE members $2/hr Non-Members,40A,30.231758, -97.729473,14,0,3,20,"https://www.google.com/maps/place/30.231758, -97.729473"
278,COA FLEET - PIE / RUTHERFORD #2,1520 Rutherford Ln,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.335873, -97.679359",$4.17/month PIE members $2/hr Non-Members,40A,30.335873, -97.679359,5,1,2,17,"https://www.google.com/maps/place/30.335873, -97.679359"
279,PIE AE / TACARASR1,4901 Ranch Rd 620 N,Austin,Texas,78732,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.385777, -97.886769",$4.17/month PIE members $2/hr Non-Members,40A,30.385777, -97.886769,4,0,2,9,"https://www.google.com/maps/place/30.385777, -97.886769"
280,PIE AE / ANIMAL SERVICE5,7201 lavender loop,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.251587, -97.690788",$4.17/month PIE members $2/hr Non-Members,40A,30.251587, -97.690788,7,0,3,13,"https://www.google.com/maps/place/30.251587, -97.690788"
281,THE SANTAL / SANTAL1,7624 Tecoma Circle,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.259641, -97.859784",$4.17/month PIE members $2/hr Non-Members,40A,30.259641, -97.859784,8,0,0,5,"https://www.google.com/maps/place/30.259641, -97.859784"
282,RIALTO / STATION1,7500 Rialto Blvd,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.254075, -97.870716",$4.17/month PIE members $2/hr Non-Members,40A,30.254075, -97.870716,7,0,0,7,"https://www.google.com/maps/place/30.254075, -97.870716"
283,INT-BIO EV CHGR / INTBIO EV CHGR1,8206 Cross Park Dr,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.33089, -97.668908",$4.17/month PIE members $2/hr Non-Members,40A,30.33089, -97.668908,5,1,0,8,"https://www.google.com/maps/place/30.33089, -97.668908"
284,PIE AE / SMART CHARGE 2,2016 Centimeter Cir,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.381493, -97.713361",$4.17/month PIE members $2/hr Non-Members,40A,30.381493, -97.713361,14,0,1,20,"https://www.google.com/maps/place/30.381493, -97.713361"
285,MONOGRAM / HANDICAP,615 W 7th St,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,--,--,"30.270571, -97.748993",$4.17/month PIE members $2/hr Non-Members,40A,30.270571, -97.748993,20,1,20,20,"https://www.google.com/maps/place/30.270571, -97.748993"
286,CHAMPION OFFICE / EV #2,6433 Champion Grandview Way,Austin,Texas,78750,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.3632, -97.793703",$4.17/month PIE members $2/hr Non-Members,40A,30.3632, -97.793703,5,0,3,8,"https://www.google.com/maps/place/30.3632, -97.793703"
287,YETI RAMBLERS / EVSE #3,7601 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.255741, -97.872431",$4.17/month PIE members $2/hr Non-Members,40A,30.255741, -97.872431,7,0,0,5,"https://www.google.com/maps/place/30.255741, -97.872431"
288,PARK&ZOOM / VALET #6,9518 Hotel Dr,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.211848, -97.662017",$4.17/month PIE members $2/hr Non-Members,40A,30.211848, -97.662017,12,0,2,20,"https://www.google.com/maps/place/30.211848, -97.662017"
289,AMD GO GREEN / P100 FL4 OUTER,7171 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.250779, -97.86175",$4.17/month PIE members $2/hr Non-Members,40A,30.250779, -97.86175,8,0,0,5,"https://www.google.com/maps/place/30.250779, -97.86175"
290,PIE AE / TLC STATI0N 2,721 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.258333, -97.75191",$4.17/month PIE members $2/hr Non-Members,40A,30.258333, -97.75191,20,0,19,20,"https://www.google.com/maps/place/30.258333, -97.75191"
291,ENCINO STATIONS / STATION 2,5707 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.243719, -97.845686",$4.17/month PIE members $2/hr Non-Members,40A,30.243719, -97.845686,6,0,1,3,"https://www.google.com/maps/place/30.243719, -97.845686"
292,PRESIDIUM / VUE,7607 Blessing Ave,Austin,Texas,78752,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.333857, -97.691302",$4.17/month PIE members $2/hr Non-Members,40A,30.333857, -97.691302,11,0,4,19,"https://www.google.com/maps/place/30.333857, -97.691302"
293,THE MEDVE GROUP / TURTLE CREEK,5946 S 1st St,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.204478, -97.783736",$4.17/month PIE members $2/hr Non-Members,40A,30.204478, -97.783736,9,1,5,20,"https://www.google.com/maps/place/30.204478, -97.783736"
294,PIE AE / ANIMAL SERVICE3,7201 Levander Loop,Austin,Texas,78721,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.251538, -97.690807",$4.17/month PIE members $2/hr Non-Members,40A,30.251538, -97.690807,7,0,4,13,"https://www.google.com/maps/place/30.251538, -97.690807"
295,COA / NEWCENTRALLIB2,710 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,J1772,240V,J1772,"30.266118, -97.751731",$4.17/month PIE members $2/hr Non-Members,40A,30.266118, -97.751731,20,1,20,20,"https://www.google.com/maps/place/30.266118, -97.751731"
