,No. of Ports,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,Power Select,evstations_count,hospitals_count,parks_count,restaurants_count,Clusters,cluster_type
240,1,0,3,0,0,0,2,20,1,20,20,2,Sparse
241,2,1,8,0,1,1,2,6,2,6,20,2,Sparse
242,2,3,4,1,1,1,2,7,0,3,20,0,Dense
243,2,1,8,0,1,1,2,4,0,3,7,1,Normal
244,2,1,8,0,1,1,2,5,0,4,11,2,Sparse
245,2,1,7,0,1,1,1,0,0,1,20,0,Dense
246,2,0,3,0,1,1,2,15,0,6,20,2,Sparse
247,2,1,1,0,1,1,2,20,2,11,20,0,Dense
248,2,0,8,0,1,1,2,8,0,8,8,0,Dense
249,2,1,3,0,1,1,2,20,0,12,20,2,Sparse
250,2,1,8,0,1,1,2,6,0,4,11,2,Sparse
251,2,1,8,0,1,1,2,3,0,0,5,2,Sparse
252,2,3,6,0,1,1,2,20,0,15,20,1,Normal
253,2,1,4,0,1,1,2,20,1,16,20,0,Dense
254,2,1,8,0,1,1,2,7,0,3,15,0,Dense
255,2,1,5,0,1,1,2,8,0,0,5,0,Dense
256,2,1,1,0,1,1,2,20,2,11,20,0,Dense
257,2,1,5,0,1,1,2,14,0,9,20,1,Normal
258,2,1,8,0,1,1,2,20,0,20,20,2,Sparse
259,2,1,5,0,1,1,2,13,0,6,20,1,Normal
260,2,1,8,0,1,1,2,6,0,7,10,0,Dense
261,2,1,8,0,1,1,2,20,0,7,20,2,Sparse
262,2,0,3,0,1,1,2,15,0,6,20,2,Sparse
263,2,1,8,0,1,1,2,3,0,2,17,1,Normal
264,2,1,5,1,1,1,2,20,1,19,20,1,Normal
265,1,1,3,0,0,0,2,16,2,6,20,1,Normal
266,1,0,8,0,0,0,2,20,0,5,20,0,Dense
267,2,0,8,0,1,1,2,20,1,20,20,0,Dense
268,2,0,8,0,1,1,2,7,1,6,12,0,Dense
269,2,0,5,0,1,1,2,20,2,20,20,2,Sparse
270,2,3,4,0,1,1,2,20,1,20,20,0,Dense
271,2,2,3,0,1,1,2,8,1,12,20,2,Sparse
272,2,0,4,0,1,1,2,20,2,17,20,0,Dense
273,2,1,5,0,1,1,2,20,0,20,20,1,Normal
274,2,3,6,0,1,1,2,13,0,0,20,0,Dense
275,2,2,3,0,1,1,2,3,1,8,15,1,Normal
276,2,2,3,0,1,1,2,20,1,20,20,2,Sparse
277,2,2,3,0,1,1,2,14,0,3,20,1,Normal
278,2,3,4,1,1,1,2,5,1,2,17,0,Dense
279,2,1,5,0,1,1,2,4,0,2,9,1,Normal
280,2,1,5,0,1,1,2,7,0,3,13,2,Sparse
281,2,2,3,0,1,1,2,8,0,0,5,1,Normal
282,2,1,8,0,1,1,2,7,0,0,7,1,Normal
283,2,1,8,0,1,1,2,5,1,0,8,2,Sparse
284,2,1,8,0,1,1,2,14,0,1,20,1,Normal
285,1,2,3,0,0,0,2,20,1,20,20,2,Sparse
286,2,0,5,0,1,1,2,5,0,3,8,0,Dense
287,2,1,3,0,1,1,2,7,0,0,5,1,Normal
288,2,1,5,0,1,1,2,12,0,2,20,2,Sparse
289,2,1,8,0,1,1,2,8,0,0,5,0,Dense
290,2,1,5,0,1,1,2,20,0,19,20,1,Normal
291,2,1,8,0,1,1,2,6,0,1,3,0,Dense
292,2,1,3,0,1,1,2,11,0,4,19,1,Normal
293,2,2,3,0,1,1,2,9,1,5,20,1,Normal
294,2,1,5,0,1,1,2,7,0,4,13,2,Sparse
295,2,3,4,0,1,1,2,20,1,20,20,0,Dense
296,2,1,4,1,1,1,2,4,0,1,18,2,Sparse
297,2,2,3,0,1,1,2,20,1,17,20,1,Normal
298,1,0,3,0,0,0,2,20,1,20,20,2,Sparse
299,2,2,3,0,1,1,2,11,0,2,20,1,Normal
300,2,2,3,0,1,1,2,1,0,2,15,0,Dense
301,2,2,3,0,1,1,2,20,1,18,20,0,Dense
302,2,1,8,0,1,1,2,8,0,0,5,1,Normal
303,2,3,4,1,1,1,2,20,2,18,20,0,Dense
304,2,1,5,0,1,1,2,15,0,9,20,1,Normal
305,2,2,3,0,1,1,2,20,0,6,20,2,Sparse
306,2,2,3,0,1,1,2,20,1,18,20,1,Normal
307,2,1,8,0,1,1,2,8,0,7,20,2,Sparse
308,2,1,8,0,1,1,2,5,0,2,7,1,Normal
309,2,1,5,0,1,1,2,11,1,17,20,1,Normal
310,2,0,8,0,1,1,2,7,4,7,17,1,Normal
311,2,1,1,0,1,1,2,20,2,11,20,0,Dense
312,2,0,8,0,1,1,2,7,1,6,12,0,Dense
313,2,1,8,0,1,1,2,4,0,1,5,1,Normal
314,2,1,2,0,1,1,2,17,0,8,20,0,Dense
315,2,1,8,0,1,1,2,14,3,12,20,2,Sparse
316,2,3,4,1,1,1,2,20,0,19,20,0,Dense
317,2,1,8,0,1,1,2,20,0,12,20,0,Dense
318,2,1,5,0,1,1,2,20,0,18,20,1,Normal
319,2,1,8,0,1,1,2,8,0,0,5,1,Normal
320,2,3,5,0,1,1,2,20,0,10,20,1,Normal
321,2,1,8,0,1,1,2,20,2,14,20,2,Sparse
322,2,2,3,0,1,1,2,6,0,3,14,1,Normal
323,2,1,8,1,1,1,2,6,0,8,20,1,Normal
324,2,0,7,0,1,1,2,20,0,5,20,2,Sparse
325,2,1,3,0,1,1,2,20,0,15,20,0,Dense
326,2,2,3,0,1,1,2,20,2,20,20,1,Normal
327,2,1,8,0,1,1,2,20,0,9,20,2,Sparse
328,2,1,5,1,1,1,2,20,2,20,20,1,Normal
329,2,1,8,1,1,1,2,10,0,2,20,0,Dense
330,2,1,8,0,1,1,2,5,0,1,20,2,Sparse
331,2,2,3,0,1,1,2,20,2,20,20,1,Normal
332,2,3,6,0,1,1,2,17,0,15,18,1,Normal
333,2,0,8,0,1,1,2,20,1,6,20,0,Dense
