"Region","Locality","Operator","Owner","DC or AC","kW","Connectors","Num_installed","Num_in_progress","Address","Long","Lat","EECA funded"
"Hawke's Bay","Napier","ChargeNet NZ","Unison Networks Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Cnr McVicar Rd and SH5",176.6253059,-39.1740897,"No"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Corner of SH 1 and Mathews Ave, Kaitaia 0410",173.2590583,-35.1034182,"Yes"
"Tasman","Tasman","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Fairfax St, Murchison 7007, NZ",172.3254033,-41.8037535,"Yes"
"Auckland","Auckland","Vector","Vector","DC",50,"DC 50 kW CHAdeMO, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW Type 2 CCS, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",3,0,"George Bolt Memorial Drive & John Goulter Drive,Auckland Airport,Auckland,2022",174.7855756,-36.9864748,"No"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Gordon Street Carpark, Dannevirke 4930",176.099117,-40.209831,"Yes"
"Wellington","Wellington","ChargeNet NZ","Contact Energy Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Grey Street, Wellington 6011, NZ",174.7762085,-41.2846771,"No"
"Bay of Plenty","Bay of Plenty","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Hemo Rd, Rotorua 3010, NZ",176.2502042,-38.1632425,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Inglewood Place, Wellington 6011, NZ",174.7784218,-41.2927062,"No"
"Manawatu-Whanganui","Ohakune","The Lines Company Ltd","The Lines Company Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Mangateitei Terrace, Ohakune",175.3986808,-39.4189264,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW CHAdeMO",2,0,"Mill Rd, Bombay 1010, NZ",174.9752847,-37.1942719,"No"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Opposite 34 Tutere St, Waikanae 5036, NZ",175.0243663,-40.8615682,"No"
"Canterbury","Canterbury","ChargeNet NZ","Alpine Energy Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Opposite 53 Main St, Fairlie 7925",170.8290354,-44.1001749,"No"
"Canterbury","Canterbury","ChargeNet NZ","Alpine Energy Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Opposite 64 MacKenzie Drive, Twizel 7901",170.1008201,-44.2566656,"No"
"West Coast","West Coast","ChargeNet NZ","Project Engineering NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Otira Hwy, Otira 7875",171.5760802,-42.8018084,"Yes"
"Manawatu-Whanganui","Otorohanga","The Lines Company Ltd","The Lines Company Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Otorohonga Railway Station, Otorohonga",175.212258,-38.186697,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",2,0,"Plimmer Tce, Shannon 4821, NZ",175.4107541,-40.5472646,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",2,0,"Rimu Rd, Paraparaumu 5032, NZ",174.9996166,-40.9190538,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW CHAdeMO",2,0,"Roberts St, Taupo 3300",176.0745894,-38.69077,"Yes"
"Waikato","Taupo","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",0,1,"Ruapehu St Taupo Waikato",176.0722821,-38.6871672,"No"
"Auckland","Auckland","ChargeNet NZ","Vector","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",2,0,"Cnr Gillies Ave and Seccombes Road, Newmarket, Auckland, 1023",174.7713051,-36.8683795,"No"
"Canterbury","Canterbury","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"SH 73, Springfield 7681",171.8606607,-43.3265038,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"St David St, Dunedin 9016, NZ",170.5152214,-45.8637208,"No"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",2,0,"State Highway 1, Waiouru 4861",175.6842229,-39.5261032,"No"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"State Highway 1, Waitiki Landing 0484, NZ",172.840523,-34.517702,"Yes"
"Canterbury","Canterbury","ChargeNet NZ","Alpine Energy Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"State Highway 8, Tekapo 7999",170.4793338,-44.0060478,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"State Hwy 4 & Waimarino Tokaanu Rd, New Zealand",175.402,-39.176,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Tararua iSite, Woodville 4920",175.8658333,-40.3366667,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Tawhia Dr, Auckland 0814",174.6085381,-36.8173272,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"The Square, Palmerston North 4410",175.6120677,-40.3557104,"Yes"
"Otago","Dunedin","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"Water St, Dunedin 9016, NZ",170.5028188,-45.8787241,"No"
"Auckland","Auckland",NA,"WEL Network","DC",50,NA,0,1,"201 Rodney St Wellsford Auckland",174.5238131,-36.2936959,"No"
"Bay of Plenty","Tauranga","ChargeNet NZ","ChargeNet NZ","DC",175,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"116 Hewletts Road, Mount Maunganui 3110",176.1959442,-37.665213,"Yes"
"Waikato","Te Rapa","Ebbett Waikato Ltd","Ebbett Waikato Ltd","DC",175,"DC 175 kW CHAdeMO, DC 175 kW Type 2 CCS",1,0,"51-55 Te Kowhai Rd, Hamilton",175.2247911,-37.7461647,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",300,"DC 300 kW Type 2 CCS, DC 300 kW Type 2 CCS, DC 300 kW Type 2 CCS, DC 300 kW Type 2 CCS",4,0,"Mill Rd, Bombay 1010, NZ",174.9752847,-37.1942719,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",300,"DC 300 kW Type 2 CCS, DC 300 kW Type 2 CCS, DC 300 kW Type 2 CCS, DC 300 kW Type 2 CCS",4,0,"Roberts St, Taupo 3300",176.0745894,-38.69077,"Yes"
"Otago","Dunedin","ChargeNet NZ","ChargeNet NZ","DC",300,NA,0,1,"10 Wharf Street, Dunedin Central, Dunedin 9016",170.5,-45.88,"Yes"
"Bay Of Plenty","Kaiwaka","ChargeNet NZ","ChargeNet NZ","DC",300,NA,0,1,"120 Kaiwaka Mangawhai Road, Kaiwaka 0975",174.44,-36.16,"Yes"
"Manawatu-Whanganui","Bulls","ChargeNet NZ","ChargeNet NZ","DC",300,NA,0,1,"298 State Highway 1, Bulls 4894",175.38,-40.17,"Yes"
"Canterbury","Christchurch","ChargeNet NZ","ChargeNet NZ","DC",300,NA,0,1,"Cheapa Campa, 575 Memorial Avenue, Burnside, Christchurch 8053",172.55,-43.48,"Yes"
