"Region","Locality","Operator","Owner","DC or AC","kW","Connectors","Num_installed","Num_in_progress","Address","Long","Lat","EECA funded"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"1 Harvey St, Omakau 9352",169.6015853,-45.0942122,"Yes"
"Waikato","Waikato","ChargeNet NZ","Unison Networks Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"1 Kaimanawa Street, Taupo 3330",176.0763093,-38.6927377,"Yes"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"1 Kaiwaka-Mangawhai Rd, Kaiwaka 0542",174.444137,-36.160781,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"1 Pihanga Rd, Turangi 3334",175.8102478,-38.9904609,"No"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS,",1,0,"1 Stevens Grove, Lower Hutt 5010",174.904344,-41.2111426,"Yes"
"Marlborough","Nelson and Marlborough","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"1 Westwood Avenue, Blenheim 7271, NZ",173.9243237,-41.5082666,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"10 Hartstonge Ave, Mosgiel 9024, NZ",170.3493017,-45.8724848,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"10 Scout Lane, Te Awamutu 3800",175.3291328,-38.0085327,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"100 Hetherington Rd, Whangamata 3620",175.8737518,-37.2034937,"Yes"
"Hawke's Bay","Hawke's Bay","ChargeNet NZ","Unison Networks Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"100 Queen St W, Hastings 4122",176.8436738,-39.6409079,"No"
"Canterbury","Ashburton","ChargeNet NZ","Electricity Ashburton Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"109 West Street, Ashburton 7700",171.745359,-43.90528,"Yes"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"11 Alexander Street, Whangarei 0110",174.3178194,-35.7224233,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"11 Moana Ave, Orewa 0931, NZ",174.694049,-36.586643,"No"
"Bay Of Plenty","Te Kaha","ChargeNet NZ","Horizon Networks","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"11 Te Kaha Hotel Rd, Te Kaha 3199",177.675,-37.74,"Yes"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"111 North Rd, Kaitaia 0482, NZ",173.2591478,-35.0993388,"Yes"
"Manawatu-Whanganui","Taumaranui Railway Station","The Lines Company","The Lines Company","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"112 Hakiaha Street, Taumaranui",175.2660817,-38.8827313,"Yes"
"Southland","Southland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"1121 Garston Athol Hwy, Athol 9793",168.5792508,-45.5109069,"Yes"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"113 Totara Street, Dargaville 0310",173.8726079,-35.9404221,"Yes"
"Bay of Plenty","Bay of Plenty","ChargeNet NZ","Unison Networks Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"1134 Haupapa Street, Rotorua 3010",176.25273,-38.1360532,"Yes"
"Waikato","Hamilton","WEL Networks Ltd","WEL Networks Ltd","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"114 Maui St, Pukete",175.222543851019,-37.7317137166904,"Yes"
"Southland","Southland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"116 Esk Street, Invercargill 9810",168.3531454,-46.4117139,"Yes"
"West Coast","West Coast","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"116 Revell Street, Hokitika 7810, NZ",170.9627168,-42.7165358,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"12 Huia St, Taihape 4720, NZ",175.7992278,-39.676519,"Yes"
"Bay of Plenty","Bay of Plenty","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"12 Jocelyn St, Te Puke 3119",176.3280897,-37.7830105,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"12 Parumoana Street, Porirua 5022",174.8419683,-41.1312774,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"120 Hobsonville Rd, Auckland 0618",174.6445404,-36.7991846,"Yes"
"Auckland","Auckland","Vector","Vector","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",2,0,"120 State Highway,Auckland,Kumeu,0810",174.5571044,-36.7766898,"No"
"Canterbury","Canterbury","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"123 Carters Rd, Amberley 7410, NZ",172.7303796,-43.1564722,"Yes"
"Canterbury","Canterbury","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"124-128 Beach Rd, Kaikoura 7300, NZ",173.6795927,-42.3878836,"Yes"
"Canterbury","Canterbury","ChargeNet NZ","Alpine Energy Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"125 Queen Street, Waimate 7924",171.046394,-44.734753,"No"
"West Coast","West Coast","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"13 Tarapuhi Street, Greymouth 7805",171.208801,-42.4501804,"Yes"
