name,latitude,longitude,address
Kingston Central Plaza,-37.970843,145.09159,"288 Centre Dandenong Rd, Moorabbin VIC 3194"
Athol Road Medical Centre,-37.971007,145.149154,"175 Athol Rd (Mackay street), Springvale South VIC 3172"
Sorrento Village,-38.339189,144.741439,"Ocean Beach Rd, Sorrento VIC"
Parkhill Plaza,-38.014059,145.323191,"215-225 Parkhill Dr, Berwick VIC 3806"
The Links,-37.922128,145.083291,"342-356 Warrigal Rd, Bentleigh East VIC 3165"
Clayton Shopping Centre,-37.922092,145.128757,"Clayton Rd, Clayton VIC 3168"
Narre Warren North Village Centre,-37.980757,145.316789,"1C Oakview Bvd, Narre Warren North VIC 3804"
Arena Shopping Centre,-38.064437,145.435051,"Princes Hwy & Cardinia Rd, Officer VIC 3809"
Village Lakeside Shopping Centre,-38.063514,145.455448,"9 Lakeside Bvd, Pakenham VIC 3810"
Heritage Springs Shopping Centre,-38.085303,145.471244,"173-175 McGregor Rd, Pakenham VIC 3810"
Hampton Park Shopping Centre,-38.032715,145.266208,"Somerville Rd, Hampton Park VIC 3976"
