name,address,postcode,latitude,longitude,networks,total_plugs,Plugs_CCS_SAE,Plugs_CHAdeMO,Plugs_Caravan_Mains_Socket,Plugs_J1772,Plugs_Tesla,Plugs_Three_Phase,Plugs_Commando,Plugs_Type2,Plugs_Wall_AU_NZ,Plugs_Other,power_outputs_kw
Nelson Place Parking/Charging,"Commonwealth Reserve, Williamstown VIC 3016, Australia",3016,-37.863107,144.904614,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Atura Hotel Dandenong,"5-17 Doveton Avenue, Eumemmerring, Victoria, Australia, VIC 3177",3177,-38.002297,145.250432,['Tesla Destination'],1,0,0,0,0,1,0,,0,0,,[22.0]
Common Ground Project,"675 Anglesea Rd, Freshwater Creek VIC 3217, Australia",3217,-38.259646,144.276227,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[22.0]
Melbourne Airport - Qantas Valet Parking,"15-25 Francis Briggs Road, Tullamarine, , Australia, VIC 3045",3045,-37.669133,144.851581,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[22.0]
Cobblebank Stadium,"Astley Dr, Bridge Rd, Strathtulloh VIC 3338, Australia",3338,-37.716016,144.599558,['Chargefox'],2,1,1,0,0,0,0,,0,0,,['unknown']
Laverton Community Hub,"Cohealth Clinic, Laverton Community Hub Corner Donald St &, Railway Ave, Laverton VIC 3028, Australia",3028,-37.865302,144.76925,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Ampol Foodary Altona North (Coming Soon),"1 Horsburgh Drive, Altona North, VIC, 3025, Australia",3025,-37.84667,144.809201,['AMPCharge'],4,2,2,0,0,0,0,,0,0,,[150.0]
Hobsons Bay Civic Centre,"115 Civic Parade, Altona VIC 3018, Australia",3018,-37.863399,144.831492,['Chargefox'],2,1,1,0,0,0,0,,0,0,,[50.0]
Brimbank Shopping Centre,"Brimbank Central Shopping Centre shop 81t, 28-72 Neale Rd, Deer Park VIC 3023, Australia",3023,-37.751827,144.775257,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Cranbourne West Community Hub (Coming Soon),"75 Evans Rd, Cranbourne West VIC 3977, Australia",3977,-38.106929,145.250522,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Monash University Clayton - Car Park N1,"10 Research Way, Clayton VIC 3168, Australia",3177,-37.908137,145.131936,['Chargefox'],4,1,1,0,0,0,0,,2,0,,"[50.0, 22.0]"
Oak Park Sports & Aquatic Centre,"Oak Park Reserve, 563 Pascoe Vale Rd, Oak Park VIC 3046, Australia",3046,-37.723715,144.920974,['Chargefox'],3,0,0,0,1,0,0,,2,0,,['unknown']
Baptcare Strathalan,"2-34 Erskine Rd, Macleod VIC 3085, Australia",3085,-37.728819,145.077998,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Leopold Library,"31 Kensington Rd, Leopold VIC 3224",3224,-38.186249,144.46436,['Chargefox'],1,0,0,0,0,0,0,,1,0,,['unknown']
Coburg Town Hall / Moreland City,"90 Bell St, Coburg VIC 3058, Australia",3058,-37.74111,144.970149,['Chargefox'],3,1,1,0,0,0,0,,1,0,,"[50.0, 'unknown']"
Amberlee Holiday Homes & Accommodation,"306 Jetty Rd, Rosebud VIC 3939, Australia",3939,-38.380923,144.912544,"['Tesla Destination', 'EVUp']",3,0,0,0,0,2,0,,1,0,,"['unknown', 22.0]"
RACV Solar,"Units 5 & 6, 8 Lewalan St, Grovedale VIC 3216, Australia",3216,-38.197552,144.344603,['Chargefox'],1,0,0,0,0,0,0,,1,0,,[22.0]
Solargain Hastings,"2161 Frankston - Flinders Rd, Hastings VIC 3915, Australia",3915,-38.314125,145.184157,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Burwood Brickworks,"70 Middleborough Road, Burwood East VIC 3151, Australia",3151,-37.848953,145.133898,['Chargefox'],4,0,0,0,0,0,0,,4,0,,['unknown']
Hungry Jack Sunbury,"27 Gap Rd, Sunbury VIC 3429, Australia",3429,-37.580985,144.724278,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
AAkonsult,"2/209 Hyde St, Yarraville VIC 3013",3013,-37.818982,144.896722,['Non-networked'],1,0,0,0,0,1,0,,0,0,,['unknown']
Hyatt Place Caribbean Park (Coming Soon),"38 Dalmore Dr, Scoresby VIC 3179, Australia",3179,-37.915767,145.216905,['Chargebay'],3,1,0,0,0,0,0,,2,0,,['unknown']
Tarneit Park Hub (BYO Type 2),"83 Leakes Rd, Tarneit VIC 3029, Australia",3029,-37.833989,144.69899,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
Malvern Central (Coming Soon),"K10, Malvern Central Shopping Centre, 110-122 Wattletree Rd, Armadale VIC 3143, Australia",3143,-37.862909,145.027303,['Non-networked'],1,1,0,0,0,0,0,,0,0,,['unknown']
