barrels08,charge120,charge240,city08,city08U,cityE,comb08,comb08U,combE,drive,engId,eng_dscr,fuelCost08,fuelType,fuelType1,ghgScore,highway08,highway08U,highwayE,hlv,hpv,id,lv2,lv4,make,model,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UHighway,VClass,year,youSaveSpend,baseModel,tCharger,sCharger,atvType,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr
0.1056,0.0,6.0,78,78.4283,43.0,76,76.169,44.0,Front-Wheel Drive,86,,1000,Electricity,Electricity,-1,74,73.5784,46.0,0,0,33308,0,0,Toyota,RAV4 EV,0,0,103,107.0,0.0,98.9,0.0,Automatic (variable gear ratios),112.0404,105.112,Sport Utility Vehicle - 2WD,2012,4250,RAV4,,,EV,115 kW AC Induction,TYX,,0.0,
0.1104,0.0,6.0,77,77.2,44.0,73,72.7,46.0,Front-Wheel Drive,1,,1050,Electricity,Electricity,10,68,67.9,50.0,0,0,33337,0,14,CODA Automotive,CODA,0,72,88,93.555,0.0,81.298,0.0,Automatic (A1),110.3,97.0,Subcompact Cars,2013,4000,CODA,,,EV,100 kW DCPM,CDA,,0.0,
0.072,0.0,7.0,126,126.3678,27.0,112,112.2077,30.0,Rear-Wheel Drive,141,,700,Electricity,Electricity,10,99,98.6914,34.0,13,85,33358,0,0,Mitsubishi,i-MiEV,0,0,62,68.5545,0.0,54.8184,0.0,Automatic (A1),180.5254,140.9876,Subcompact Cars,2013,5750,i-MiEV,,,EV,49 kW DCPM,MTX,,0.0,
0.0839999999999999,0.0,10.0,94,94.4,36.0,95,95.4,35.0,Rear-Wheel Drive,2,,800,Electricity,Electricity,10,97,96.7,35.0,26,94,33367,0,0,Tesla,Model S (60 kW-hr battery pack),0,0,208,205.7,0.0,210.7,0.0,Automatic (A1),118.6,121.5,Large Cars,2013,5250,Model S,,,EV,225 kW AC Induction,TSL,single charger,3.75,dual charger
0.0911999999999999,0.0,12.0,88,87.9,38.0,89,88.8,38.0,Rear-Wheel Drive,1,,850,Electricity,Electricity,10,90,90.1,37.0,26,94,33368,0,0,Tesla,Model S (85 kW-hr battery pack),0,0,265,262.7,0.0,266.8,0.0,Automatic (A1),110.4,113.2,Large Cars,2013,5000,Model S,,,EV,270 kW AC Induction,TSL,single charger,4.75,dual charger
0.1296,0.0,6.0,60,60.1785,56.0,62,61.9394,54.0,Front-Wheel Drive,1,,1200,Electricity,Electricity,-1,64,64.2368,52.0,0,0,33383,0,0,BYD,e6,0,0,122,120.1,0.0,124.8,0.0,Automatic (A1),85.9694,91.7668,Sport Utility Vehicle - 2WD,2012,3250,e6,,,EV,75 kW AC PMSM,BYD,,0.0,
0.0696,0.0,4.0,122,122.4,28.0,116,115.974,29.0,Front-Wheel Drive,738,,650,Electricity,Electricity,10,108,108.1,31.0,7,76,33396,0,0,Fiat,500e,0,0,87,91.84,0.0,81.48,0.0,Automatic (A1),174.8555,154.4591,Minicompact Cars,2013,6000,500e,,,EV,82 kW ACIPM,CRX,,0.0,
0.1056,0.0,6.0,78,78.4283,43.0,76,76.169,44.0,Front-Wheel Drive,93,,1000,Electricity,Electricity,10,74,73.5784,46.0,0,0,33397,0,0,Toyota,RAV4 EV,0,0,103,107.0,0.0,98.9,0.0,Automatic (variable gear ratios),112.0404,105.112,Small Sport Utility Vehicle 2WD,2013,4250,RAV4,,,EV,115 kW AC Induction,TYX,,0.0,
0.0696,0.0,7.0,129,128.9217,26.0,115,115.4934,29.0,Front-Wheel Drive,901,,650,Electricity,Electricity,10,102,102.451,33.0,24,92,33558,0,0,Nissan,Leaf,0,0,75,82.0,0.0,65.6,0.0,Automatic (A1),184.1738,146.3586,Midsize Cars,2013,6000,Leaf,,,EV,80 kW DCPM,NSX,3.6 kW charger,4.0,6.6 kW charger
0.0863999999999999,0.0,6.0,93,93.4,36.0,94,94.3,36.0,Rear-Wheel Drive,3,,800,Electricity,Electricity,10,96,95.5,35.0,26,94,33612,0,0,Tesla,Model S (40 kW-hr battery pack),0,0,139,138.5,0.0,140.7,0.0,Automatic (A1),117.3,120.0,Large Cars,2013,5250,Model S,,,EV,225 kW AC Induction,TSL,single charger,2.5,dual charger
