Walgett,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,
Total charge sessions ,,,,,,,,,,,,,,,4,2,4,11,7,4,13,16,4,5,4,7,3,
Total kilowatt hours charged (kWH),,,,,,,,,,,,,,,66,38,66,154,98,116,401,303,141,199,120,259,120,
" Average energy used per charging session (kWH)
 ",,,,,,,,,,,,,,,17,19,17,14,14,29,31,19,35,40,30,37,40,
Average time taken to charge (min),,,,,,,,,,,,,,,40,28,40,40,40,37,46,37,49,51,29,47,48,
Average SOC,,,,,,,,,,,,,,,41,45,,40,40,40,47,49,36,35,39,38,26,
Average EOC,,,,,,,,,,,,,,,86,81,,86,86,86,94,90,83,93,77,91,89,
Broken Hill,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,
Total charge sessions ,,,,,,,,,,,,,,,,,,,14,12,13,9,10,16,12,7,3,
Total kilowatt hours charged (kWH),,,,,,,,,,,,,,,,,,,308,289,430,226,218,630,228,175,75,
" Average energy used per charging session (kWH)
 ",,,,,,,,,,,,,,,,,,,19,24,33,25,21,39,19,25,24,
Average time taken to charge (min),,,,,,,,,,,,,,,,,,,29,43,49,40,45,60,60,40,40,
Average SOC,,,,,,,,,,,,,,,,,,,70,70,44,56,45,39,56,52,52,
Average EOC,,,,,,,,,,,,,,,,,,,92,92,87,90,87,88,90,90,90,
Wilcannia,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,
Total charge sessions ,,,,,,,,,,,,,,,,,,,,,,4,1,10,8,3,2,
Total kilowatt hours charged (kWH),,,,,,,,,,,,,,,,,,,,,,192,30,277,282,193,88,
" Average energy used per charging session (kWH)
 ",,,,,,,,,,,,,,,,,,,,,,46,30,28,35,64,44,
Average time taken to charge (min),,,,,,,,,,,,,,,,,,,,,,76,74,31,52,67,28,
Average SOC,,,,,,,,,,,,,,,,,,,,,,27,58,62,34,16,61,
Average EOC,,,,,,,,,,,,,,,,,,,,,,97,100,83,81,98,89,
Cobar,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,
Total charge sessions ,,,,,,,,,,,,,,,,,,,,,,16,4,12,11,9,6,
Total kilowatt hours charged (kWH),,,,,,,,,,,,,,,,,,,,,,303,162,449,430,437,103,
" Average energy used per charging session (kWH)
 ",,,,,,,,,,,,,,,,,,,,,,19,40,37,39,49,17,
Average time taken to charge (min),,,,,,,,,,,,,,,,,,,,,,37,64,52,62,82,27,
Average SOC,,,,,,,,,,,,,,,,,,,,,,62,37,39,32,30,34,
Average EOC,,,,,,,,,,,,,,,,,,,,,,90,100,92,86,98,70,
Casino,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,
Total charge sessions ,,,,,,,,,,,,,,,,,,,,,,,,,,35,50,
Total kilowatt hours charged (kWH),,,,,,,,,,,,,,,,,,,,,,,,,,722,1202,
" Average energy used per charging session (kWH)
 ",,,,,,,,,,,,,,,,,,,,,,,,,,21,24,
Average time taken to charge (min),,,,,,,,,,,,,,,,,,,,,,,,,,32,37,
Average SOC,,,,,,,,,,,,,,,,,,,,,,,,,,41,48,
Average EOC,,,,,,,,,,,,,,,,,,,,,,,,,,77,87,
Temora,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,
Total charge sessions ,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
Total kilowatt hours charged (kWH),,,,,,,,,,,,,,,,,,,,,,,,,,,287,
" Average energy used per charging session (kWH)
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,16,
Average time taken to charge (min),,,,,,,,,,,,,,,,,,,,,,,,,,,24,
Average SOC,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
Average EOC,,,,,,,,,,,,,,,,,,,,,,,,,,,73,
Bourke,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,
Total charge sessions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total kilowatt hours charged (kWH),,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Average energy used per charging session (kWH)
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average time taken to charge (min),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average SOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average EOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewarrina,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,
Total charge sessions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total kilowatt hours charged (kWH),,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Average energy used per charging session (kWH)
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average time taken to charge (min),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average SOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average EOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyngan,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,44754,44786,44818,44850,
Total charge sessions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total kilowatt hours charged (kWH),,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Average energy used per charging session (kWH)
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average time taken to charge (min),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average SOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average EOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
