start_date,station_na,charging_t,energy_kwh,address_1,address_2,city,state_prov,zip_postal,fee,model_numb,latitude,longitude,location
2022-02-09T17:39:34Z,TOWN OF CARY / DT DECK P3 WEST,1:28:35,2.614,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-02-08T22:57:37Z,TOWN OF CARY / DT DECK P3 WEST,1:04:25,6.422,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-02-09T01:31:54Z,TOWN OF CARY / TOWN HALL-PWH,0:50:34,2.562,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-02-08T22:27:04Z,TOWN OF CARY / BOND PARK BH,0:48:58,5.924,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-08T20:36:46Z,TOWN OF CARY / BOND PARK BH,1:12:47,4.256,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-08T19:33:24Z,TOWN OF CARY / DT DECK P2 (2),1:30:00,8.862,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.7797010000 35.7853850000)
2022-02-08T17:28:36Z,TOWN OF CARY / BOND PARK BH,2:34:12,14.134,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-08T18:11:06Z,TOWN OF CARY / BOND PARK BH,1:12:04,2.803,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-08T13:01:21Z,TOWN OF CARY / BOND PARK BH,2:30:33,8.784,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-07T22:30:03Z,TOWN OF CARY / DT DECK P2 (1),0:34:10,1.803,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.7794110000 35.7854460000)
