Created;Station ID;Station name;Start time;Stop time;Duration;Energy (Wh);Plug type;Cumulative energy (Wh);Colonna1
13/12/2019 00.10;1126;ABC Tammisilta;13/12/2019 00.10;13/12/2019 00.19;10;3472;DC;38300309;20832
13/12/2019 08.04;1100;Puutarhakatu 4;13/12/2019 08.04;13/12/2019 12.34;271;3060;AC;38303369;677.4907749
13/12/2019 08.06;3022;Turun linja-autoasema;13/12/2019 08.06;13/12/2019 08.07;2;0;AC;38303369;0
13/12/2019 08.15;1099;Puutarhakatu 4;13/12/2019 08.15;13/12/2019 12.06;231;7110;AC;38310479;1846.753247
13/12/2019 08.36;6435;Turun Messukeskus;13/12/2019 08.36;13/12/2019 10.12;97;4726;AC;38315205;2923.298969
13/12/2019 08.50;1086;Turun linja-autoasema;13/12/2019 08.50;13/12/2019 12.51;241;6380;AC;38321585;1588.381743
13/12/2019 09.16;2653;Puistokatu 10;13/12/2019 09.16;13/12/2019 11.58;162;4190;AC;38325775;1551.851852
13/12/2019 09.49;6442;Turun Messukeskus;13/12/2019 09.49;13/12/2019 15.58;369;5892;AC;38331667;958.0487805
13/12/2019 10.30;1126;ABC Tammisilta;13/12/2019 10.30;13/12/2019 10.37;7;2684;DC;38334351;23005.71429
13/12/2019 10.55;4667;Logomo;13/12/2019 10.55;13/12/2019 13.53;178;10010;AC;38344361;3374.157303
13/12/2019 11.52;2500;Stedingkinkatu 2;13/12/2019 11.52;13/12/2019 15.36;225;7750;AC;38352111;2066.666667
13/12/2019 12.25;1099;Puutarhakatu 4;13/12/2019 12.25;13/12/2019 15.22;178;7500;AC;38359611;2528.089888
13/12/2019 12.29;1138;Hämeenkatu 8;13/12/2019 12.29;13/12/2019 13.04;36;1890;AC;38361501;3150
13/12/2019 12.36;1100;Puutarhakatu 4;13/12/2019 12.36;13/12/2019 14.10;94;0;AC;38361501;0
13/12/2019 12.36;3023;Turun linja-autoasema;13/12/2019 12.36;13/12/2019 14.33;117;45120;DC;38406621;23138.46154
13/12/2019 12.49;1140;Hämeenkatu 8;13/12/2019 12.49;13/12/2019 13.17;29;1500;AC;38408121;3103.448276
13/12/2019 13.46;1140;Hämeenkatu 8;13/12/2019 13.46;13/12/2019 14.06;21;1090;AC;38409211;3114.285714
13/12/2019 14.28;1140;Hämeenkatu 8;13/12/2019 14.28;13/12/2019 15.55;88;4450;AC;38413661;3034.090909
13/12/2019 15.07;4667;Logomo;13/12/2019 15.07;13/12/2019 17.04;118;3310;AC;38416971;1683.050847
13/12/2019 15.22;1100;Puutarhakatu 4;13/12/2019 15.22;13/12/2019 17.57;155;4300;AC;38421271;1664.516129
13/12/2019 16.13;1099;Puutarhakatu 4;13/12/2019 16.13;13/12/2019 17.03;51;2500;AC;38423771;2941.176471
13/12/2019 16.37;1086;Turun linja-autoasema;13/12/2019 16.37;13/12/2019 17.24;48;2610;AC;38426381;3262.5
13/12/2019 17.49;3023;Turun linja-autoasema;13/12/2019 17.49;13/12/2019 18.18;29;6101;DC;38432482;12622.75862
13/12/2019 17.58;1140;Hämeenkatu 8;13/12/2019 17.58;13/12/2019 17.58;1;0;AC;38432482;0
13/12/2019 17.58;1086;Turun linja-autoasema;13/12/2019 17.58;13/12/2019 19.39;101;4920;AC;38437402;2922.772277
13/12/2019 18.00;1140;Hämeenkatu 8;13/12/2019 18.00;13/12/2019 20.05;126;5690;AC;38443092;2709.52381
13/12/2019 18.55;2500;Stedingkinkatu 2;13/12/2019 18.55;13/12/2019 19.12;17;820;AC;38443912;2894.117647
13/12/2019 19.14;1138;Hämeenkatu 8;13/12/2019 19.14;13/12/2019 21.44;151;5320;AC;38449232;2113.907285
13/12/2019 19.42;2500;Stedingkinkatu 2;13/12/2019 19.42;13/12/2019 22.44;183;9510;AC;38458742;3118.032787
13/12/2019 19.54;1100;Puutarhakatu 4;13/12/2019 19.54;13/12/2019 19.58;4;180;AC;38458922;2700
13/12/2019 21.28;1140;Hämeenkatu 8;13/12/2019 21.28;13/12/2019 21.33;6;240;AC;38459162;2400
