start_date,station_name,charging_time_hh_mm_ss,energy_kwh,address_1,address_2,city,state_province,zip_postal_code,fee,model_number,latitude,longitude,geopoint
2022-03-13T19:58:17+00:00,TOWN OF CARY / DT DECK P2 (1),1:26:17,9.02,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-03-13T19:24:39+00:00,TOWN OF CARY / DT DECK P2 (2),1:22:18,3.924,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-13T17:40:26+00:00,TOWN OF CARY / TOWN HALL-PWH,2:17:25,14.382,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-12T20:18:18+00:00,TOWN OF CARY / DT DECK P2 (2),0:58:26,2.838,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-11T14:24:47+00:00,TOWN OF CARY / DT DECK P2 (1),11:07:18,61.888,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-03-11T14:25:59+00:00,TOWN OF CARY / BOND PARK BH,0:39:34,2.502,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-11T14:00:20+00:00,TOWN OF CARY / BOND PARK BH,0:42:16,3.782,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-10T18:25:45+00:00,TOWN OF CARY / TOWN HALL-PWH,1:47:11,5.944,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-10T15:15:29+00:00,TOWN OF CARY / BOND PARK BH,2:30:49,18.375,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-09T22:00:15+00:00,TOWN OF CARY / TOWN HALL-PWH,6:58:57,43.061,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-10T16:01:29+00:00,TOWN OF CARY / TOWN HALL-PWH,0:17:14,1.692,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-10T14:22:08+00:00,TOWN OF CARY / BOND PARK BH,0:29:53,1.87,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-10T01:12:13+00:00,TOWN OF CARY / TOWN HALL-PWH,2:52:27,8.899,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-09T20:05:06+00:00,TOWN OF CARY / DT DECK P2 (2),0:20:14,1.072,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-09T13:33:39+00:00,TOWN OF CARY / TOWN HALL-PWH,3:21:56,20.111,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-09T01:32:12+00:00,TOWN OF CARY / TOWN HALL-PWH,0:28:34,1.439,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-08T22:48:45+00:00,TOWN OF CARY / DT DECK P2 (1),0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-03-08T13:13:36+00:00,TOWN OF CARY / TOWN HALL-PWH,1:32:31,4.51,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-07T16:06:52+00:00,TOWN OF CARY / DT DECK P2 (2),1:48:10,5.567,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
