X,Y,ObjectId,OperatorInfo,OperatorInfoWebsite,UsageType,MembershipRequired,PayAtLocation,KeyRequired,StatusType,AddressSpecs,AddressInfo,City,latitude,Longitude,Connections,NumberOfPoints,GlobalID
1848185.6753,6299988.4036,21,(Business Owner at Location),Unknown,Public - Notice Required,False,False,False,Operational,CATEGORY a.s.,Vídeňská 204/125,Brno,49.1478654,16.6025344,"[{'Amps': 16, 'Voltage': 230, 'PowerKW': 3.5, 'Quantity': 1, 'ConnectionType': 'CEE 7/5', 'StatusType': 'Operational', 'CurrentType': 'AC (Single-Phase)', 'IsFastChargeCapable': False}]",1,{F76A15C0-A70C-44B0-ABD8-685A85FFC58E}
1848616.5647,6305860.9333,22,Evmapa (CZ),http://www.evmapa.cz,Public - Membership Required,True,False,True,Operational,Spielberk Office Centre,Holandská 10,Brno,49.1823601485501,16.6064051454731,"[{'Amps': 100, 'Voltage': 500, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CHAdeMO', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}]",1,{7B6DE7EA-9F34-44C1-8722-F90145D87923}
1847860.422,6306632.6736,23,(Unknown Operator),Unknown,"Private - For Staff, Visitors or Customers",False,False,False,Unknown," CITEN, s.r.o",Křídlovická 41/28 ,Brno,49.1868915,16.5996126,"[{'Amps': 16, 'Voltage': 230, 'PowerKW': 3.6, 'Quantity': 1, 'ConnectionType': 'CEE 7/5', 'StatusType': 'Unknown', 'CurrentType': 'AC (Single-Phase)', 'IsFastChargeCapable': False}]",1,{FBE1D468-69DC-4D9B-9A8B-599BA8311732}
1846093.058,6306414.8167,24,ČEZ,http://www.elektromobilita.cz/,Public - Membership Required,True,False,True,Operational,Křižkovského,Křižkovského,Brno,49.185612373177,16.5837360989648,"[{'Amps': None, 'Voltage': None, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CHAdeMO', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': None, 'Voltage': None, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CCS (Type 1)', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 1, 'ConnectionType': 'Type 2 (Socket Only)', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}]",1,{C7389D65-6A05-41F6-B038-6C8CB0AC9B04}
1845875.6932,6304396.1329,25,ČEZ,http://www.elektromobilita.cz/,Public - Membership Required,True,False,True,Operational,Shell,Shell,Brno,49.1737582828112,16.5817834775495,"[{'Amps': None, 'Voltage': None, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CHAdeMO', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': None, 'Voltage': None, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CCS (Type 2)', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 1, 'ConnectionType': 'Type 2 (Socket Only)', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}]",3,{C34C6340-A385-4549-8DA2-9BF5A8A6A916}
1844519.2136,6304060.6352,26,Lidl,Unknown,"Private - For Staff, Visitors or Customers",False,False,False,Operational,LIDL Pod Nemocnicí,Pod Nemocnicí,Brno,49.1717879022682,16.5695980145416,"[{'Amps': None, 'Voltage': None, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CHAdeMO', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': None, 'Voltage': None, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CCS (Type 2)', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': 63, 'Voltage': 400, 'PowerKW': 43.0, 'Quantity': 1, 'ConnectionType': 'Type 2 (Tethered Connector) ', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': True}]",1,{94C5B820-E3D2-420C-A03F-EBDBE0543562}
1844548.3019,6307084.0483,27,Evmapa (CZ),http://www.evmapa.cz,Public,Unknown,Unknown,Unknown,Operational,BVV Brno,Bauerova,Brno,49.1895415998407,16.5698593188881,"[{'Amps': 120, 'Voltage': 500, 'PowerKW': 60.0, 'Quantity': 1, 'ConnectionType': 'CHAdeMO', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 1, 'ConnectionType': 'Type 2 (Socket Only)', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}, {'Amps': 32, 'Voltage': 230, 'PowerKW': 7.2, 'Quantity': 1, 'ConnectionType': 'Type I (AS 3112)', 'StatusType': 'Operational', 'CurrentType': 'AC (Single-Phase)', 'IsFastChargeCapable': False}]",1,{1EF24D80-74C8-4CCD-A92D-F4D6B176A549}
1837945.9785,6304801.0898,28,Evmapa (CZ),http://www.evmapa.cz,Public,Unknown,Unknown,Unknown,Operational,NetDataComm,Jihlavská 2,Troubsko,49.176136493129,16.5105496385536,"[{'Amps': None, 'Voltage': None, 'PowerKW': None, 'Quantity': 1, 'ConnectionType': 'CHAdeMO', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': None, 'Voltage': None, 'PowerKW': None, 'Quantity': 1, 'ConnectionType': 'Type 1 (J1772)', 'StatusType': 'Unknown', 'CurrentType': 'Unknown', 'IsFastChargeCapable': 'Unknown'}, {'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 2, 'ConnectionType': 'CEE 5 Pin', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}, {'Amps': 16, 'Voltage': 400, 'PowerKW': 11.0, 'Quantity': 2, 'ConnectionType': 'CEE 5 Pin', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}, {'Amps': 16, 'Voltage': 230, 'PowerKW': 3.6, 'Quantity': 6, 'ConnectionType': 'CEE 7/5', 'StatusType': 'Operational', 'CurrentType': 'AC (Single-Phase)', 'IsFastChargeCapable': False}]",3,{7C9E7CAF-2D58-4C5F-994F-9B8394C8D485}
1843563.3004,6310968.7162,29,Evmapa (CZ),http://www.evmapa.cz,Public - Membership Required,True,False,True,Operational,NISSAN BSAuto Brno,Veslařská 2,Brno,49.2123433,16.5610109,"[{'Amps': None, 'Voltage': None, 'PowerKW': 50.0, 'Quantity': '1', 'ConnectionType': 'CHAdeMO', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}]",1,{50F9E5E9-0F1B-47CA-AA4A-C932FDC12ADA}
1844230.8945,6311052.3352,30,Tesla (Tesla-only charging),http://www.teslamotors.com,Public - Membership Required,True,False,True,Operational,Avriopoint Brno,Sochorova 23,Brno,49.212834,16.567008,"[{'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 2, 'ConnectionType': 'Tesla (Model S/X)', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}]",2,{9E4CA57E-6258-41FE-AC57-C06820B3C5CD}
