Latitude,Longitude,charger_type
-20.01660114,148.2480204,CHAdeMO
-19.32382549,146.7587996,CHAdeMO
-37.82788423,144.9262572,CHAdeMO
-25.53982619,152.6991534,CHAdeMO
-38.197536,144.321073,CHAdeMO
-37.00576777,144.2175831,CHAdeMO
-21.13971112,149.1852379,CHAdeMO
-37.718952,144.961498,CHAdeMO
-37.97092578,145.2235052,CHAdeMO
-36.88827856,145.2474255,CHAdeMO
-27.5202159,151.8501711,CHAdeMO
-36.3698477,145.361899,CHAdeMO
-37.82022948,145.0402257,CHAdeMO
-37.925691,145.027893,CHAdeMO
-28.16419699,153.5152736,CHAdeMO
-37.71395622,144.8860831,CHAdeMO
-22.8276466,149.9327812,CHAdeMO
-37.87579762,145.0436391,CHAdeMO
-20.0658342,146.2617747,CHAdeMO
-38.33856,144.737043,CCS/SAE
-37.51059,145.118412,CCS/SAE
-37.85402,145.104433,CCS/SAE
-37.863399,144.831492,CCS/SAE
-37.84646146,144.8088603,CCS/SAE
-36.72751175,145.5935891,CCS/SAE
-37.97134,145.223814,CCS/SAE
-37.722801,144.572251,CCS/SAE
-37.820819,145.039887,CCS/SAE
-37.713651,144.885527,CCS/SAE
-37.75577,144.741077,CCS/SAE
-37.702614,144.969502,CCS/SAE
-37.86361164,144.8310105,CCS/SAE
-36.75541431,144.2870008,CCS/SAE
-25.23560702,152.2788755,CCS/SAE
-38.246677,144.540122,CCS/SAE
-24.32778446,151.5601492,CCS/SAE
-37.804471,144.99327,CCS/SAE
-16.5271215,145.4631622,CCS/SAE
-37.76693229,145.0308257,CCS/SAE
-37.908137,145.131936,CCS/SAE
-35.94048354,144.7255162,CCS/SAE
-37.773851,144.961886,CCS/SAE
-37.82377034,144.9265125,CCS/SAE
-38.505496,145.148488,CCS/SAE
-37.71912127,144.9615062,CCS/SAE
-37.69657,144.78212,CCS/SAE
-38.054795,145.115952,CCS/SAE
-26.418047,152.911429,CCS/SAE
-36.631158,142.2229192,CCS/SAE
-38.05485257,145.1166042,CCS/SAE
-37.959394,145.017704,CCS/SAE
-36.37203068,143.6109526,CCS/SAE
-37.0506023,143.7418516,CCS/SAE
-19.5740619,147.4056813,CCS/SAE
-37.876073,145.043688,CCS/SAE
-37.51043222,145.11856,CCS/SAE
-37.915767,145.216905,CCS/SAE
-37.3558872,144.5282275,CCS/SAE
-27.44449167,153.0836111,CCS/SAE
-37.17227961,144.4757619,CCS/SAE
-37.77360197,144.9618831,CCS/SAE
-36.53193077,143.8615516,CCS/SAE
-37.46933398,143.8550343,CCS/SAE
-37.9214,145.237553,CCS/SAE
-37.90797166,145.1312195,CCS/SAE
-37.72198498,144.5729271,CCS/SAE
-27.68194444,152.8997222,CCS/SAE
-37.94260024,145.1197763,CCS/SAE
-23.38227211,150.5134619,CCS/SAE
-37.716016,144.599558,CCS/SAE
-37.942988,145.11844,CCS/SAE
-18.2625592,146.0249012,CCS/SAE
-16.923837,145.7796679,CCS/SAE
-17.5209629,146.0261103,CCS/SAE
