,Location Name,Latitude,Longitude,Address,Description,Plugs_wall_AU/NZ,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Type2,Power 1,Power 2,Location_category ,charging_stations,payment,Plugs_Caravan_Mains_Socket,Plugs_Three_Phase,Plugs_Commando,Plugs_Other,State,Town
47,Russell St,-37.81180407,144.9677026,"Russell St, Melbourne, Victoria, 3000 Australia","Chargefox network, Charging free with parking entry, Enter car park from Russell St. Two SmartWallbox universal charging stations: one is located on the rooftop level (immediately on your right after entry), and the other is located on level 3. Look for the blue coloured concrete parking places. BYO cable required however cables can be purchased via jetcharge.com.au and collected onsite via parking management, please contact JET Charge on 1300 856 328 for help obtaining a cable - During business hours. Charging rates: 11kW via three phase or 3.5kW via single phase.",0.0,0.0,0.0,0.0,0,2.0,0,22,Commercial,2.0,0,0.0,0.0,0.0,0.0,,
48,Collins St,-37.81780946,144.9552413,"589-599 Little Collins St, Melbourne VIC 3000, Australia",3 chargers for guests. Enter main gates and charging bays are in front of the lifts as you proceed down the first ramp. Spots are tight.,0.0,0.0,0.0,0.0,0,3.0,0,22,Public,3.0,0,0.0,0.0,0.0,0.0,,
49,Bourke St,-37.81638627,144.9547755,"636 Bourke St, Melbourne VIC 3000, Australia",Enter via Langs Lane. Only available to Alto Hotel guests. Register for ChargePoint Card at chargepoint.com.au,2.0,0.0,0.0,3.0,1,0.0,0,22,Workplace,7.0,0,0.0,0.0,0.0,0.0,,
50,Bourke St,-37.81477906,144.956447,"542 Little Bourke St, Melbourne VIC 3000, Australia","North west corner of most levels, power point low on wall near fire hose reel",1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,p,0.0,0.0,0.0,0.0,,
51,Lonsdale St,-37.81343708,144.955934,"535 Little Lonsdale St, Melbourne VIC 3004, Australia","Dining, EV Parking, Lodging, Shopping, Restrooms, Park",0.0,0.0,0.0,2.0,0,0.0,0,22,Public,2.0,p,0.0,0.0,0.0,0.0,,
52,Bourke St,-37.81581182,144.9595123,"501 Bourke Street, Melbourne? VIC? 3000, Australia",2 Tesla plus 2 Type 2 Socket charging stations located on level B1 near the members lift. Car park entry on Chancery Lane off Bourke Street or off Little Collins Street. 2nd charger spot is behind the down ramp. Installed by JET Charge and on Chargefox Network. Type 2 to Type 1 cables included. If you have a Type 2 car you need BYO cable.,0.0,0.0,0.0,2.0,1,2.0,0,22,Public,5.0,0,0.0,0.0,0.0,0.0,,
53,Lonsdale St,-37.8130787,144.9582143,"460 Lonsdale St, Melbourne VIC 3000, Australia",Parking & Dining,1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,p,0.0,0.0,0.0,0.0,,
54,Lonsdale St,-37.81137439,144.9633783,"300 Lonsdale St, Melbourne VIC 3000, Australia",Melbourne Central Carpark P2. Outlet is located behind the pillar to the left of the lift.,1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,p,0.0,0.0,0.0,0.0,,
55,Latrobe Street,-37.81241851,144.95362,300 Latrobe Street Melbourne,Only 10A wall socket available,3.0,0.0,0.0,0.0,0,0.0,0,22,Public,3.0,p,0.0,0.0,0.0,0.0,,
56,West Melbourne,-37.81010363,144.9510094,"45 Dudley St, West Melbourne VIC 3003, Australia","Motel with limited car parking. 10A PowerPoint/Powerboard at rear roller door, will need extension lead.",1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,,0.0,0.0,0.0,0.0,,
57,Queen St,-37.80782358,144.9581717,"460 Queen St, Melbourne VIC 3000, Australia",12 x Schneider type 2 EV chargers located in B2 level BYO charging cable. Ticketless payment system and underground 500 car spaces total.,0.0,0.0,0.0,0.0,0,12.0,0,22,Public,12.0,p,0.0,0.0,0.0,0.0,,
58,Bourke St,-37.81211268,144.9709222,"129 Bourke St, Melbourne VIC 3000, Australia","2 x Chargepoint J1772 (Type 1) chargers. Activate with RFID card and WAIT two mins, gently tug on the plug and eventually it will click and unlock. Vacuum services is available. Air and window cleaning is out of service. Operated by Juice Bar. ChargePoint card required. Officially known as 121 Exhibition Street but enter from Bourke Street.",0.0,0.0,0.0,0.0,2,0.0,0,22,Public,1.0,p,0.0,0.0,0.0,0.0,,
59,Russell St,-37.81129305,144.967822,"222 Russell St, Melbourne VIC 3000, Australia","2 x Porsche Destination Chargers (Type 2, 11kW AC). Entry level, bays 261 & 262.",0.0,0.0,0.0,0.0,0,2.0,0,22,Public,2.0,,0.0,0.0,0.0,0.0,,
60,Lonsdale St,-37.81067877,144.9666047,"180 Lonsdale Street, Melbourne VIC 3000, Australia",Public Wilson Parking basement levels of QV - 180 Lonsdale Street. Levels B2 and B3 each have a number of 10A switched wall outlets� total number of sockets available unverified!,3.0,0.0,0.0,0.0,0,0.0,0,22,Public,3.0,,0.0,0.0,0.0,0.0,,
61,Lonsdale St,-37.81017999,144.9705189,"59 Lonsdale St, Melbourne VIC 3000, Australia","2 x Tesla Destination Chargers (32A single phase). Turn right, down the ramp. Then on left hand side, two charging bays painted red.",1.0,0.0,0.0,2.0,0,0.0,0,22,Public,3.0,,0.0,0.0,0.0,0.0,,
62,Lonsdale St,-37.81005952,144.9696999,"Corner Exhibition & Lonsdale St, Melbourne VIC 3000, Australia",Valet parking required. HPWC is on level P4 near lifts. 1 X 32A single phase Tesla destination charger.,0.0,0.0,0.0,1.0,0,0.0,0,22,Commercial,1.0,p,0.0,0.0,0.0,0.0,,
63,St Kilda,-37.86223596,144.9739984,"2 Acland St, St Kilda VIC 3182, Australia","Available to the public. GROUND floor as you enter first right. Porsche Destination Charging, 11kW Type 2 plugs cable provided. Tesla chargers are not in compatibility mode to charge other EVs.",0.0,0.0,0.0,2.0,0,2.0,0,22,Public,4.0,p,0.0,0.0,0.0,0.0,,
64,St Kilda,-37.86765039,144.9742931,"30 Jacka Blvd, St Kilda VIC 3182, Australia","Dining, EV Parking, Park",0.0,0.0,0.0,0.0,0,1.0,0,22,Public,1.0,,0.0,0.0,0.0,0.0,,
65,Church St,-37.83218295,144.996426,"650 Church St, Cremorne VIC 3121, Australia","EV Parking, Restrooms, Dining, Shopping, WiFi",0.0,0.0,0.0,4.0,0,0.0,50,0,Commercial,4.0,p,0.0,0.0,0.0,0.0,,
66,Docklands,-37.81254895,144.939394,"78 Waterfront Way, Docklands VIC 3008, Australia",Wall points (10 amp) on support poles throughout carpark.,1.0,0.0,0.0,0.0,0,0.0,0,22,Public,1.0,,0.0,0.0,0.0,0.0,,
0,Geelong Supercharger,-38.065192,144.382451,"470-510 Princes Hwy, Geelong, VIC, Australia, 3214",,0.0,0.0,0.0,6.0,0,0.0,250.0,,,6.0,,0.0,0.0,,,,
1,Penguin Parade Visitor's Centre,-38.505496,145.148488,"995 Ventnor Road Summerlands VIC 3922, Australia",,0.0,1.0,1.0,0.0,0,0.0,25.0,,,2.0,,0.0,0.0,,,,
2,Mornington Supercharger,-38.234305,145.051085,"75 Mornington-Tyabb Rd, Mornington VIC 3931, Australia",,0.0,0.0,0.0,6.0,0,0.0,250.0,,,6.0,,0.0,0.0,,,,
3,Kingston Village Square (DC Fast Charger),-38.246677,144.540122,"Kingston Village Square, Grubb Rd, Ocean Grove VIC 3226, Australia",,0.0,1.0,1.0,0.0,0,2.0,50.0, 'unknown',,4.0,,0.0,0.0,,,,
4,BIG4 Phillip Island Caravan Park,-38.516829,145.35646,"24 Old Bridge Drive, Newhaven VIC 3925, Australia",,1.0,0.0,0.0,0.0,0,0.0,'unknown',,,2.0,,1.0,0.0,,,,
5,Sorrento Community Centre,-38.33856,144.737043,"860 Melbourne Rd, Sorrento VIC 3943, Australia",,0.0,4.0,4.0,0.0,0,0.0,50.065,,,8.0,,0.0,0.0,,,,
6,CTR Whittlesea,-37.51059,145.118412,"74A Church St, Whittlesea VIC 3757, Australia",,0.0,2.0,2.0,0.0,0,0.0,50.065,,,4.0,,0.0,0.0,,,,
7,Rye & Sorrento Camping,-38.320637,144.718201,"1380 Point Nepean Rd Portsea VIC 3944, Australia",,1.0,0.0,0.0,0.0,0,0.0,'unknown',,,1.0,,0.0,0.0,,,,
8,McDonald’s Melton South,-37.722801,144.572251,"179-253 Exford Rd, Weir Views VIC 3338, Australia",,0.0,4.0,4.0,0.0,0,0.0,50.0,,,8.0,,0.0,0.0,,,,
9,RACV Torquay Resort,-38.34035,144.310815,"1 Great Ocean Road, Jan Juc, Victoria, Australia, VIC 3228",,0.0,4.0,4.0,2.0,1,0.0,350.0, 50.0,,11.0,,0.0,0.0,,,,
10,Leisurelink Aquatic & Recreation Centre (Coming Soon),-38.197536,144.321073,"240 Pioneer Rd, Waurn Ponds VIC 3216, Australia",,0.0,2.0,2.0,0.0,0,0.0,50.0,,,4.0,,0.0,0.0,,,,
11,Club Trillium (gym/pool) carpark,-37.565285,144.893834,"Trillium Boulevard, Mickleham VIC 3064, Australia",,0.0,0.0,0.0,0.0,1,0.0,'unknown',,,1.0,,0.0,0.0,,,,
12,Chelsea Swansea Road Car Park,-38.054795,145.115952,"1 Swansea Rd, Chelsea 3196, Australia",,0.0,4.0,4.0,0.0,0,0.0,50.065,,,8.0,,0.0,0.0,,,,
13,Ampol Dandenong Stud Road,-37.97134,145.223814,"Corner Stud And, Heatherton Rd, Dandenong VIC 3175, Australia",,0.0,4.0,4.0,0.0,0,0.0,350.0,,,8.0,,0.0,0.0,,,,
14,Uni Hill Town Centre,-37.683069,145.071032,"Shop 17/5 Janefield Dr, Bundoora VIC 3083, Australia",,0.0,4.0,4.0,0.0,0,0.0,50.0,,,8.0,,0.0,0.0,,,,
15,De Bortoli Wines Dixons Creek,-37.596809,145.412205,"58 Pinnacle Ln, Dixons Creek VIC 3775, Australia",,1.0,0.0,0.0,2.0,0,1.0,'unknown', 22.0,,4.0,,0.0,0.0,,,,
16,Bollygum Park,-37.529366,145.339116,"Bollygum Park, 40 Whittlesea-Kinglake Rd, Kinglake VIC 3763, Australia",,1.0,0.0,0.0,0.0,0,0.0,'unknown',,,1.0,,0.0,0.0,,,,
17,Moonee Ponds Supercharger,-37.765834,144.923586,"665 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",,0.0,0.0,0.0,6.0,0,0.0,120.0,,,6.0,,0.0,0.0,,,,
18,Sundowner Rockbank Caravan Park,-37.730067,144.659873,"Rockbank VIC 3335, Australia",,1.0,0.0,0.0,0.0,0,0.0,'unknown',,,1.0,,0.0,0.0,,,,
19,Red Rooster Vermont,-37.83192,145.213897,"401 Canterbury Rd, Vermont 3134, Australia",,0.0,2.0,2.0,0.0,0,0.0,50.065,,,4.0,,0.0,0.0,,,,
20,Queenscliff Brewhouse,-38.265713,144.663211,"2 Gellibrand St, Queenscliff, Australia, VIC 3225",,0.0,0.0,0.0,1.0,0,0.0,7.0,,,1.0,,0.0,0.0,,,,
21,Westfield Airport West,-37.713651,144.885527,"29-35 Louis St, Airport West VIC 3042, Australia",,0.0,2.0,6.0,0.0,0,0.0,50.0, 350.0,,8.0,,0.0,0.0,,,,
22,Shell Taylors Lakes,-37.69657,144.78212,"Coles Express 410 Melton Highway, Taylors Lakes VIC 3038, Australia",,0.0,4.0,4.0,0.0,0,0.0,350.0,,,8.0,,0.0,0.0,,,,
23,Tooradin Airfield / Wings & Fins Seafood Restaurant,-38.214809,145.422459,"3260 S Gippsland Hwy, Tooradin VIC 3980, Australia",,0.0,0.0,0.0,1.0,0,0.0,5.0,,,1.0,,0.0,0.0,,,,
24,Woodman Estate,-38.282256,145.125377,"136 Graydens Road Moorooduc VIC 3933, Australia",,0.0,0.0,0.0,0.0,0,2.0,'unknown',,,2.0,,0.0,0.0,,,,
25,Middy’s Port Melbourne,-37.828073,144.925718,"2 Thackray Rd, Port Melbourne VIC 3207, Australia",,0.0,1.0,1.0,0.0,0,0.0,25.0,,,2.0,,0.0,0.0,,,,
26,BIG4 Mornington Peninsula Holiday Park,-38.174557,145.141541,"2 Robinsons Rd, Frankston VIC 3199, Australia",,1.0,0.0,0.0,0.0,0,0.0,'unknown',,,1.0,,0.0,0.0,,,,
27,Club Delaray,-38.110037,145.336394,"20 Alphey Road, Clyde North VIC 3978, Australia",,0.0,0.0,0.0,0.0,0,1.0,'unknown',,,1.0,,0.0,0.0,,,,
28,Wanzl / Rectifier Technologies,-37.85402,145.104433,"97 Highbury Rd, Burwood VIC 3125, Australia",,0.0,0.0,1.0,0.0,0,0.0,'unknown',,,1.0,,0.0,0.0,,,,
29,Camberwell Supercharger,-37.828606,145.05643,"793 Burke Road , Camberwell, VIC, Australia, 3124",,0.0,0.0,0.0,6.0,0,0.0,120.0,,,6.0,,0.0,0.0,,,,
30,Melbourne Richmond Supercharger,-37.831997,144.995807,"650 Church St, Cremorne VIC 3121, Australia",,0.0,0.0,0.0,4.0,0,0.0,120.0,,,4.0,,0.0,0.0,,,,
31,BP Northpoint,-37.648097,144.994195,"1 Scanlon Drive, Epping VIC 3076, Australia",,0.0,4.0,4.0,0.0,0,0.0,350.0,,,8.0,,0.0,0.0,,,,
32,Stockland Point Cook,-37.884254,144.736465,"Main St & Murnong St, Point Cook VIC 3030, Australia",,0.0,0.0,0.0,0.0,1,0.0,'unknown',,,1.0,,0.0,0.0,,,,
33,Clifftop Accommodation Phillip Island,-38.504564,145.259653,"1 Marlin Street, Smiths Beach, VIC 3922",,0.0,0.0,0.0,2.0,0,0.0,22.0,,,2.0,,0.0,0.0,,,,
34,Stony point caravan park,-38.374257,145.221478,"5 Stony Point Road, Crib Point VIC 3919, Australia",,4.0,0.0,0.0,0.0,0,0.0,'unknown',,,4.0,,0.0,0.0,,,,
35,Belgrave Heights Convention Centre,-37.923605,145.348486,"23 Lockwood Rd, Belgrave Heights VIC 3160, Australia",,1.0,0.0,0.0,0.0,0,0.0,'unknown',,,1.0,,0.0,0.0,,,,
36,Corsair Solutions,-37.767107,145.03066,"370 Darebin Rd, Alphington VIC 3078, Australia",,0.0,0.0,2.0,0.0,0,0.0,80.0,,,2.0,,0.0,0.0,,,,
37,Monash University Caulfield Car Park,-37.876073,145.043688,"880 Princes Hwy Service Rd, Caulfield East VIC 3145, Australia",,1.0,1.0,1.0,0.0,0,0.0,50.0, 'unknown',,3.0,,0.0,0.0,,,,
