Id,Nom,Adreça,Codi postal,Àrea,Ciutat,Zona horària,Codi país,Latitud,Longitud,Ubicació
292,"Carrer Compte Sallent, 8_Aparcament (Banyalbufar)","C/ Compte Sallent, 8",07191,ISLAS BALEARES,Banyalbufar,Europa/Madrid,ES,39.6874,2.51434,POINT (2.51434 39.6874)
295,"Carrer de Joan Riutort, 90 (Esporles)","Carrer de Joan Riutort, 90",07190,ISLAS BALEARES,Esporles,Europa/Madrid,ES,39.6636,2.58109,POINT (2.58109 39.6636)
298,"Carrer Cotoner, 15 (Esporles)","Carrer Cotoner, 15",07190,ISLAS BALEARES,Esporles,Europa/Madrid,ES,39.6683,2.57936,POINT (2.57936 39.6683)
301,Carrer Sa Siquia (Estellencs),Carrer Sa Siquia,07192,ISLAS BALEARES,Estellens,Europa/Madrid,ES,39.6537,2.48307,POINT (2.48307 39.6537)
307,Avinguda Ca na Ferrera_Centre Salut (Alcúdia),Avinguda Ca na Ferrera_Centre Salut Barcarés,07400,ISLAS BALEARES,Alcúdia,Europa/Madrid,ES,39.855,3.1241,POINT (3.1241 39.855)
310,Carretera Artà-Alcúdia (Can Picafort),Carretera Artà-Alcúdia (Can Picafort),07458,ISLAS BALEARES,Santa Margalida,Europa/Madrid,ES,39.7702,3.1438,POINT (3.1438 39.7702)
313,"Carrer de la Portella, 12 (Binissalem)","Carrer de la Portella, 12",07350,ISLAS BALEARES,Binissalem,Europa/Madrid,ES,39.6857,2.8448,POINT (2.8448 39.6857)
319,Carrer de Guillem Martí Coll (Binissalem),Carrer de Guillem Martí Coll,07350,ISLAS BALEARES,Binissalem,Europa/Madrid,ES,39.6879,2.8464,POINT (2.8464 39.6879)
322,"Carrer del Catedràtic Llabres, 37 (Binissalem)","Carrer del Catedràtic Llabres, 37",07350,ISLAS BALEARES,Binissalem,Europa/Madrid,ES,39.69,2.8397,POINT (2.8397 39.69)
325,"Camí del Pedaç, 8 (Binissalem)","Camí del Pedaç, 8",07350,ISLAS BALEARES,Binissalem,Europa/Madrid,ES,39.6858,2.8381,POINT (2.8381 39.6858)
328,"Carrer del Conquistador, 96-98 (Binissalem)","Carrer del Conquistador, 96-98",07350,ISLAS BALEARES,Binissalem,Europa/Madrid,ES,39.6828,2.8435,POINT (2.8435 39.6828)
332,"Avinguda Palma, 3 (Valldemossa)","Avinguda Palma, 3",07170,ISLAS BALEARES,Valldemossa,Europa/Madrid,ES,39.711,2.6214,POINT (2.6214 39.711)
338,"Avinguda de Palma, 13  (Valldemossa)","Avinguda Palma, 13 Parc Infantil",07170,ISLAS BALEARES,Valldemossa,Europa/Madrid,ES,39.7115,2.622,POINT (2.622 39.7115)
341,"Carrer del Venerable Sor Aina, 11 (Valldemossa)","Carrer del Venerable Sor Aina, 11",07170,ISLAS BALEARES,Valldemossa,Europa/Madrid,ES,39.7119,2.6181,POINT (2.6181 39.7119)
350,"Carrer del Garrigo, 2 (Bunyola)","Carrer del Garrigo, 2",07110,ISLAS BALEARES,Bunyola,Europa/Madrid,ES,39.6912,2.7023,POINT (2.7023 39.6912)
353,"Carrer Son Serra, s/n_ Poliesportiu (Bunyola)","Carrer Son Serra, s/n",07110,ISLAS BALEARES,Bunyola,Europa/Madrid,ES,39.6869,2.7005,POINT (2.7005 39.6869)
359,Carrer del Rosari 26 (Fornells),"Carrer del Rosari, 26",07748,ISLAS BALEARES,Es Mercadal,Europa/Madrid,ES,40.0548,4.12958,POINT (4.12958 40.0548)
362,Poliesportiu (Es Mercadal),Carrer del Doctor Llansó s/n,07740,ISLAS BALEARES,Es Mercadal,Europa/Madrid,ES,39.9926,4.09389,POINT (4.09389 39.9926)
365,Plaça Son Ramis (Llubí),Plaça Son Ramis,07430,ISLAS BALEARES,Llubí,Europa/Madrid,ES,39.6988,3.0102,POINT (3.0102 39.6988)
368,Poliesportiu (Sa Pobla),"Carrer del Mestre Arabí, s/n (Sa Pobla)",07420,ISLAS BALEARES,Sa Pobla,Europa/Madrid,ES,39.7613,3.0184,POINT (3.0184 39.7613)
371,"Plaça del Mercat, 61 (Sa Pobla)","Plaça del Mercat, 61",07420,ISLAS BALEARES,Sa Pobla,Europa/Madrid,ES,39.7712,3.02745,POINT (3.02745 39.7712)
374,"Carrer Ramon Llull, 6 (Búger)",C/ Ramon Llull 6,07311,ISLAS BALEARES,Búger,Europa/Madrid,ES,39.7589,2.9825,POINT (2.9825 39.7589)
383,"Carrer Sant A. Abat, 1002_Poliesportiu (Consell)","Carrer de Sant Antoni Abat, 1002",07330,ISLAS BALEARES,Consell,Europa/Madrid,ES,39.6704,2.80885,POINT (2.80885 39.6704)
386,Plaça des Born (Ciutadella),Plaça des Born,07760,ISLAS BALEARES,Ciutadella,Europa/Madrid,ES,40.0005,3.8357,POINT (3.8357 40.0005)
389,"Av. Josep Verd Sastre, 10 (Santa María del Camí)","Avinguda Josep Verd Sastre, 10",07320,ISLAS BALEARES,Santa Maria del Camí,Europa/Madrid,ES,39.6476,2.7713,POINT (2.7713 39.6476)
392,"Avinguda del Raiguer, 4 (Consell)","Avinguda del Raiguer, 4",07330,ISLAS BALEARES,Consell,Europa/Madrid,ES,39.6645,2.8044,POINT (2.8044 39.6645)
395,"Carrer de la Pastora, 35 (Lloseta)","Carrer Pastora, 25",07360,ISLAS BALEARES,Lloseta,Europa/Madrid,ES,39.7208,2.8657,POINT (2.8657 39.7208)
401,"Plaça de l'Església, 22 (Binissalem)","Plaça de l'Església, 22",07320,ISLAS BALEARES,Binissalem,Europa/Madrid,ES,39.6891,2.8418,POINT (2.8418 39.6891)
404,"Carrer de la Riba, 1 (Lloret de Vista Alegre)","Carrer de la Riba, 1",07518,ISLAS BALEARES,Lloret de Vista Alegre,Europa/Madrid,ES,39.6189,2.9756,POINT (2.9756 39.6189)
410,"Carrer de Ses Escoles, 5 (Santa Eugènia)","Carrer de Ses Escoles, 5",07142,ISLAS BALEARES,Santa Eugènia,Europa/Madrid,ES,39.6232,2.83891,POINT (2.83891 39.6232)
413,Passatge Bartomeu Oliver i Amengual (Sencelles),Passatge Bartomeu Oliver i Amengual,07140,ISLAS BALEARES,Sencelles,Europa/Madrid,ES,39.6449,2.8967,POINT (2.8967 39.6449)
416,Carrer de la Balanguera_cl. Sant Sebastia (Costix),Carrer de la Balanguera_cl. de Sant Sebastia,07144,ISLAS BALEARES,Costix,Europa/Madrid,ES,39.6542,2.94897,POINT (2.94897 39.6542)
419,"Plaça Nova, s/n (Sencelles)","Plaça Nova, s/n",07140,ISLAS BALEARES,Sencelles,Europa/Madrid,ES,39.6473,2.8999,POINT (2.8999 39.6473)
425,"Passeig Jaume III, 20 (Llumajor)","Passeig Jaume III, 20",07620,ISLAS BALEARES,Llucmajor,Europa/Madrid,ES,39.487,2.8858,POINT (2.8858 39.487)
428,"Camí de Marina, 27 (Porreres)","Camí de Marina, 27",07260,ISLAS BALEARES,Porreres,Europa/Madrid,ES,39.5179,3.0204,POINT (3.0204 39.5179)
431,"Carrer Isaac Peral, 58_Badia Gran (Llucmajor)","Isaac Peral, 58_Badia Gran",07620,ISLAS BALEARES,Llucmajor,Europa/Madrid,ES,39.4293,2.753,POINT (2.753 39.4293)
434,Carrer Mª Antonia Salva/  Pça. Major (S'Arenal),Carrer Mª Antonia Salva/ davant  Pça. Major,07600,ISLAS BALEARES,Llucmajor,Europa/Madrid,ES,39.5005,2.7561,POINT (2.7561 39.5005)
437,"Carrer Terral, cantó Trencadors 25 (S'Arenal)","Carrer Terral, cantó Trencadors 25",07600,ISLAS BALEARES,Llucmajor,Europa/Madrid,ES,39.5,2.7537,POINT (2.7537 39.5)
440,"Passeig Ramón Llull,  23_Auditori (Felanitx)","Passeig Ramón Llull,  23_Auditori Municipal",07200,ISLAS BALEARES,Felanitx,Europa/Madrid,ES,39.4731,3.1443,POINT (3.1443 39.4731)
443,"Carrer D'Anglesola, 39 Parc Municipal (Felanitx)","D'Anglesola, 3_Parc Municipal",07200,ISLAS BALEARES,Felanitx,Europa/Madrid,ES,39.4701,3.1555,POINT (3.1555 39.4701)
446,"Av. Primavera, 60 (Ses Salines)","Av. Primavera, 60 (Coloni de Sant Jordi)",07638,ISLAS BALEARES,Ses Salines,Europa/Madrid,ES,39.3199,2.99108,POINT (2.99108 39.3199)
449,"Carrer 31 de Març, 1 (Felanitx)","Carrer 31 de Març, 1",07200,ISLAS BALEARES,Felanitx,Europa/Madrid,ES,39.4682,3.1476,POINT (3.1476 39.4682)
452,"Av. de les Germanies, 12 (Inca)","Av. de les Germanies, 12",07300,ISLAS BALEARES,Inca,Europa/Madrid,ES,39.7209,2.9077,POINT (2.9077 39.7209)
455,Plaça Sant Isidre _S'Horta (Felanitx)),Pça. Sant Isidre  (S'Horta),07669,ISLAS BALEARES,Felanitx,Europa/Madrid,ES,39.4077,3.20927,POINT (3.20927 39.4077)
458,"Carrer Dr.Barraquer, 3 _centre cívic (Ses Salines)","Carrer  Dr. Barraquer, 3 (Sa Colonia de S.Jor",07638,ISLAS BALEARES,Ses Salines,Europa/Madrid,ES,39.316,2.99548,POINT (2.99548 39.316)
461,"Carrer de la Pau, 1 (Ses Salines)","Carrer de la Pau, 1",07640,ISLAS BALEARES,Ses Salines,Europa/Madrid,ES,39.3394,3.05364,POINT (3.05364 39.3394)
464,"Carrer Rodrigo de Triana, s/n (Porto Colom)","Carrer Rodrigo de Triana, s/n Portocolom",07200,ISLAS BALEARES,Felanitx,Europa/Madrid,ES,39.4231,3.2588,POINT (3.2588 39.4231)
