latitude,longitude,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl,bezeichnung,betreiber,verbund,betriebsart,anzahl_ladepunkte,arten_ladepunkte,ladekarten,kosten,oeffnungszeiten,website
54.080662,12.191967,6e4df09d-03af-47ae-bddf-558f24683ae9,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Brinckmansdorf,"0020",Tessiner Str.,"08820","96",,"18055",Parkplatz Tessiner Str.,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Tessiner-Strasse-Tessiner-Strasse-96/41175/
54.094538,12.155151,7ee43d2f-4d05-4424-8dd2-27a1a63b0181,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Brinckmansdorf,"0020",Altkarlshof,"00280","6",,"18146",FSN Autohaus,Volkswagen Group Charging GmbH,Elli,halböffentlich,"2","1x Combo Typ 2 22kW, 1x Typ2 11 kW","ADAC e-Charge;EnBW mobility+;LogPay Charge&Fuel Card und App;MAINGAU Autostrom;Shell Recharge",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/FSN-Autohaus-Altkarlshof-6/54937/
54.101316,12.180741,339a0d5c-70b0-4b59-8a55-3880f9eb7d74,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Brinckmansdorf,"0020",Rövershäger Chaussee,"08100","5",,"18146",Autohaus Rostock,Autohaus Rostock Ost GmbH,Virta,halböffentlich,"2","1x Typ 2 22 kW, 1x Combo Typ 2 75 kW","ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Autohaus-Rostock-Roevershaeger-Chaussee-5/64588/
54.137885,12.114089,e358d2e0-d046-11e8-a9e4-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Peez,"0029",Zum Südtor,"11160","6",,"18147",HEM Tankstelle,Allego GmbH,Allego,öffentlich,"3","1x CHAdeMO 50 kW, 1x Combo Typ 2 50 kW, 1x Typ 2 43 kW","ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge",kostenpflichtig,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/HEM-Tankstelle-Zum-Suedtor-8/33130/
54.198357,12.150509,4fd8cf5c-e2be-11ea-9d28-005056b3c6e4,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seebad Markgrafenheide,"0003",Budentannenweg,"01650","2",,"18146",Campingplatz Baltic-Freizeit,baltic-Freizeit GmbH,,halböffentlich,"1","CEE Blau 3,7 kW",,,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Markgrafenheide/Baltic-Freizeit-Budentannenweg-2/21139/
54.176585,12.085439,131f48d8-0d17-11e6-bea2-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seebad Warnemünde,"0001",Kirchenplatz,"05910","1",,"18119",Kirchenplatz Warnemünde,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"4","2x Typ 2 22 kW, 2x Schuko 3,7 kW","ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock","0,39 €/kWh, Grundgebühr 0,99 €",24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Kirchenplatz-Warnemuende-Kirchenplatz-1/9523/
54.107771,12.051859,9053c3b4-081c-403d-99dd-4c98efa50a39,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Evershagen,"0011",Messestr.,"06980","25",,"18069",IKEA,IKEA Deutschland GmbH & Co. KG,IKEA,privat,"2","je Typ 2 22 kW, 2x CHAdeMO 20 kW, 2x Combo Typ 2 20 kW",ohne Authentifizierung,,Mo-Sa 10:00-20:00,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/IKEA-Messestrasse-25/41179/
54.170536,12.087852,cb7d698b-c01b-4b42-8bba-569043736782,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seebad Warnemünde,"0001",Zum Zollamt,"13950","5",,"18119",Parkhaus Molenfeuer,Stadtwerke Rostock AG,Stadtwerke Rostock,halböffentlich,"4",Typ 2 22kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkhaus-Molenfeuer-Zum-Zollamt-5/58987/
54.123294,12.074454,b4d89a52-619f-440c-8d53-b7c5f32dde03,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Schmarl,"0012",Handwerkstr.,"10140","5",,"18069",Citti-Park,EnBW Energie Baden-Württemberg AG,EnBW,öffentlich,"8","4x Combo Typ 2 150 kW; 4x Combo Typ 2 300 kW","ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/CITTI-PARK-Handwerkstrasse-1/63480/
54.107068,12.057319,c759461b-9c31-4105-b7f2-27570d1d3e11,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Evershagen,"0011",An den Griebensöllen,"12610","2",,"18069",Parkplatz Bauhaus,EnBW Energie Baden-Württemberg AG,EnBW,halböffentlich,"4","2x Combo Typ 2 300 kW; 2x Combo Typ 2 150 kW","ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge",,Mo-Sa 07:00-20:00,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Bauhaus-An-den-Griebensoellen-1/69472/
54.098715,12.086254,201c0b6c-35fd-11ea-85a0-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Reutershagen,"0013",Grazer Str.,"03040","1",,"18069",Parkplatz Kunsthalle,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;GET CHARGE;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock","0,39 €/kWh, Grundgebühr 0,99 €",24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Kunsthalle-Grazer-Strasse-1/44414/
54.085525,12.100093,bf05a466-35ff-11ea-ae40-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Hansaviertel,"0014",Schillingallee,"09370","71",,"18057",Universitätsklinikum,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing","0,39 €/kWh, Grundgebühr 0,99 €",24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Universitaetsklinikum-Schillingallee-71/43307/
54.078194,12.132776,757dbc5c-64d2-439a-872d-4956861f9fea,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Herweghstr.,"03570","51",,"18055",IntercityHotel,Total Deutschland GmbH,Digital Energy Solutions,halböffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/IntercityHotel-Herweghstrasse-51/54128/
54.084067,12.136002,fc1ab5c4-b811-11e9-a35b-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Paulstr.,"07540","33",,"18055",Hermannstr. 32,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock","0,39 €/kWh, Grundgebühr 0,99 €",24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Hermannstrasse-Hermannstrasse-35/38864/
54.081326,12.192001,c1dabecb-620d-4348-b472-24b7028fcdda,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Brinckmansdorf,"0020",Timmermannsstrat,"11130","3",,"18055",A.T.U.,Allego GmbH,Allego,halböffentlich,"3","1x Combo Typ 2 50kW, 1x Typ2 43 kW, 1x CHAdeMO 50kW","ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/ATU-Timmermannsstrat-3/29596/
54.099138,12.176441,83ee0bdc-3601-11ea-ae41-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Brinckmansdorf,"0020",Alt Bartelsdorfer Str.,"00230","18",,"18146",Grönfingers,Allego GmbH,Allego,öffentlich,"6",Combo Typ 2 300 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Groenfingers-Roevershaeger-Chaussee-1/44152/
54.107701,12.158064,e5acd992-e7e4-481a-bf90-8e7a67eed116,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Dierkow-West,"0023",Hinrichsdorfer Str.,"03600","13",a,"18146",Lidl,Lidl Vertriebs-GmbH & Co. KG,Lidl,halböffentlich,"3","1x Typ 2 22 kW, 1x CHAdeMO 50 kW, 1x Combo Typ 2 50 kW","ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge",,Mo-Sa 07:00-21:00,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Lidl-Hinrichsdorfer-Strasse-Hinrichsdorfer-Strasse-13a/47003/
