name,address,description,location_category,location_sub_category,open_date,pricing,free_use,latitude,longitude,port_count,port_level_type,network,manufacturer,power_output_kw,power_output_volts,power_output_amps,renewable_power_supply,CHAdeMO,Tesla_std,Tesla_Fast,Tesla_Roadster,CCS_SAE,J1772,Type2,Commando,Wall_AU
Gladstone Regional Council,"39 Blomfield St, Miriam Vale 4677","Blomfield St, On-street perpendicular parking just north of Alf Larson Park",,,,,,-24.32778446,151.5601492,,,,,,,,,,,,,,,,,
James Cook University,"1 James Cook Dr, Douglas QLD 4814","James Cook University, near Supermarket",,,,,,-19.32382549,146.7587996,,,,,,,,,,,,,,,,,
"Caltex Charlton Travel Centre, Warrego Highway","10810 Warrego Hwy, Charlton 4350","Caltex Charlton Travel Centre, Warrego Hwy",,,,,,-27.5202159,151.8501711,,,,,,,,,,,,,,,,,
"Noosa Shire Council, Queensland Rail","34 Elm St, Cooroy 4563",Cooroy Train Station carpark,,,,,,-26.418047,152.911429,,,,,,,,,,,,,,,,,
Springfield Land Corporation,"4 David Henry Way, Springfield Central QLD 4300",Carpark on David Henry Way,,,,,,-27.68194444,152.8997222,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.84589758,151.0697681,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-32.90277958,151.669841,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-32.77392928,151.293163,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-34.4495405,150.4429263,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-34.77593897,150.7005415,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-34.74647702,146.5497492,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-34.31187813,148.2948011,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.92342503,147.2030598,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.41861309,149.5866089,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.13737585,148.1726385,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-32.24969442,148.6099153,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-32.09970764,152.3814491,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-31.09046673,150.9273942,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-35.70858089,150.1756837,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.28433645,149.101057,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-29.68836648,152.9338323,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-29.73857928,151.7363904,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-28.63545725,153.5560183,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-36.67336146,149.8431557,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-34.82298325,148.3338306,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.47772722,150.1609403,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-35.71674293,147.3171672,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-30.9781504,150.2509306,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-34.50896936,144.8428368,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-31.45824656,152.8290614,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-36.0837322,146.9143513,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-31.27837,149.27955,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.8341739,148.6942786,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-34.1680675,150.6111657,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-34.63962676,143.5646291,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-34.84111757,148.9121914,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-35.11242691,147.5387137,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-32.05026446,150.8669152,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-32.59295024,149.585035,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-29.0572088,152.0187674,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-30.51129377,151.6684939,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-36.41597995,148.6195201,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-35.354835,145.725109,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-30.95275221,148.3878911,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-30.020733,148.117789,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.85912996,151.2080001,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-32.65371782,151.9629963,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.79746203,151.1826494,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.95144309,151.1759629,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.86926096,151.2087242,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-35.70874057,150.1768202,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.90407538,151.2151087,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.29816166,151.4184774,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-36.44543132,148.4512318,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.7288363,150.2986953,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.68912288,151.2237462,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-35.15883855,147.4611136,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.72935996,151.0057501,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.85983723,151.0712932,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.71136632,150.8523591,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-28.87072009,153.5632833,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.84900169,151.0619297,,,,,,,,,,,,,,,,,
Unnamed Charge Station,NSW,Imported from EV Charge Stations NSW dataset,,,,,,-33.87092959,151.1979458,,,,,,,,,,,,,,,,,
COA FLEET - PIE / BARTON #2,505 Barton Springs Rd,,Municipal,Municipal Parking,,$4.17/month PIE members $2/hr Non-Members,,30.2569,-97.7493,2,,,,,240V,40A,,,,,,,,,,
COA FLEET - PIE / ROOF 2,625 E 10th St,,Municipal,Municipal Fleet,,$4.17/month PIE members $2/hr Non-Members,,30.2696,-97.7348,2,,,,,240V,40A,,,,,,,,,,
HPI 3700 / 3900 SC 4,3900 N Capital of Texas Hwy,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.3379,-97.808,2,,,,,240V,40A,,,,,,,,,,
HPE AUSTIN / TXN04 A,14231 Tandem Blvd,,Workplace,High-Tech,,$4.17/month PIE members $2/hr Non-Members,,30.4455,-97.6901,2,,,,,240V,40A,,,,,,,,,,
NATIONAL INSTRU / 5&6,11500 N Mopac Expy,,Workplace,High-Tech,,$4.17/month PIE members $2/hr Non-Members,,30.4087,-97.7254,2,,,,,240V,40A,,,,,,,,,,
LADERA BEND / BUILDING 3,6585-6621 Jester Blvd,,Workplace,High-Tech,,$4.17/month PIE members $2/hr Non-Members,,30.3712,-97.8009,2,,,,,240V,40A,,,,,,,,,,
CZPROPERTIES / FLOOR 2 UNIT 1,1400 Lavaca St,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.2769,-97.7426,2,,,,,240V,40A,,,,,,,,,,
COA FLEET - PIE / TOOMEY #2,1501-1615 Toomey Rd,,Municipal,Municipal Fleet,,$4.17/month PIE members $2/hr Non-Members,,30.2637,-97.7592,2,,,,,240V,40A,,,,,,,,,,
CATHERINE / CATHERINE 1,300 Barton Springs Rd,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.2591,-97.7478,2,,,,,240V,40A,,,,,,,,,,
PIE AE / HOWSONBRCHLIBR2,2500 Exposition blvd,,Municipal,Library,,$4.17/month PIE members $2/hr Non-Members,,30.2984,-97.7679,2,,,,,240V,40A,,,,,,,,,,
HYATT PLACE / HP STATION 3,Presidential Blvd,,Hospitality,Hotel / Resort,,$4.17/month PIE members $2/hr Non-Members,,30.2104,-97.6646,2,,,,,240V,40A,,,,,,,,,,
PIE AE / HAMPTON LBRY1,5125 Convict Hill Rd,,Municipal,Library,,$4.17/month PIE members $2/hr Non-Members,,30.2181,-97.855,2,,,,,240V,40A,,,,,,,,,,
FOUNDATION COMM / JORDAN3,2724 Philomena St,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.2987,-97.6948,2,,,,,240V,40A,,,,,,,,,,
COA / TWIN OAKS #1,1800 S 5th St,,Municipal,Library,,$4.17/month PIE members $2/hr Non-Members,,30.2489,-97.7623,2,,,,,240V,40A,,,,,,,,,,
HPI 3700 / EV 2,3700 N Capital of Texas Hwy,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.3368,-97.8062,1,,,,,--,40A,,,,,,,,,,
AUSTIN / AUSTIN 200 2,200 W Cesar Chavez St,,Workplace,High-Tech,,$4.17/month PIE members $2/hr Non-Members,,30.2645,-97.7461,2,,,,,240V,40A,,,,,,,,,,
PIE AE / PUBWYNDHAMGARD1,1600-1628 Woodward St,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.2228,-97.7464,2,,,,,240V,40A,,,,,,,,,,
FOUNDATION COMM / STATION 01,11015 four points dr,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.3992,-97.8469,2,,,,,240V,40A,,,,,,,,,,
COA FLEET - PIE / FLOOR 4,900 N Interstate Hwy 35,,Municipal,Municipal Fleet,,$4.17/month PIE members $2/hr Non-Members,,30.269,-97.7343,2,,,,,240V,40A,,,,,,,,,,
NATIONAL INSTRU / 17&18;,11500 N Mopac Expy,,Workplace,High-Tech,,$4.17/month PIE members $2/hr Non-Members,,30.4085,-97.7277,2,,,,,240V,40A,,,,,,,,,,
SCHOOL / LANIER1,1201 Payton gin rd.,,Education,High School / Other,,$4.17/month PIE members $2/hr Non-Members,,30.3602,-97.7096,2,,,,,240V,40A,,,,,,,,,,
HANOVER / L7,110 San Antonio St,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.2652,-97.7491,1,,,,,--,40A,,,,,,,,,,
ENDEAVOR REG / DELLANA LN 1,2602 Dellana Ln,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.2683,-97.7838,2,,,,,240V,40A,,,,,,,,,,
CITY VIEW / STATION2,1120 S Capital of Texas Hwy,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.283,-97.8249,2,,,,,240V,40A,,,,,,,,,,
AVIATION / 2ND FLOOR L,3201 Presidential Blvd,,Parking,Airport,,$4.17/month PIE members $2/hr Non-Members,,30.2047,-97.6694,2,,,,,240V,40A,,,,,,,,,,
SALTILLO / BLOCK 2,1011 E 5th St,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.264,-97.7327,2,,,,,240V,,,,,,,,,,,
RPP GARAGE / ISLAND 2,12301 Research Blvd,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.428,-97.7544,1,,,,,--,40A,,,,,,,,,,
16 / OAKVILLE APTS,7011 W Parmer Ln,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.4508,-97.7493,2,,,,,240V,40A,,,,,,,,,,
HPI 3700 / 3900 SC #1,3900 N Capital of Texas Hwy,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.3379,-97.8079,2,,,,,240V,40A,,,,,,,,,,
AMD GO GREEN / P100 FL3 LEFT,7171 Southwest Pkwy,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.2508,-97.8617,2,,,,,240V,40A,,,,,,,,,,
PARMER AUSTIN / PIC #2,13011c McCallen Pass,,Workplace,High-Tech,,$4.17/month PIE members $2/hr Non-Members,,30.4096,-97.6593,2,,,,,240V,40A,,,,,,,,,,
HPI 3700 / EV 4,3700 N Capital of Texas Hwy,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.3367,-97.8063,1,,,,,--,40A,,,,,,,,,,
ENDEAVOR REG / 901 E 6TH ST 4,901 E 6th St,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.265,-97.7334,2,,,,,240V,40A,,,,,,,,,,
LADERA BEND / GATED GARAGE 2,7300 Ranch Rd 2222,,Workplace,High-Tech,,$4.17/month PIE members $2/hr Non-Members,,30.3722,-97.8017,2,,,,,240V,40A,,,,,,,,,,
HANOVER / L5,110 San Antonio St,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.2653,-97.7491,1,,,,,--,40A,,,,,,,,,,
PARMER AUSTIN / STATION PIC 4,509 E Howard Ln,,Workplace,High-Tech,,$4.17/month PIE members $2/hr Non-Members,,30.412,-97.6528,2,,,,,240V,,,,,,,,,,,
PIE AE / PUB-CENTRALMKTS,4465-4475 S Lamar Blvd,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.2323,-97.7984,2,,,,,240V,40A,,,,,,,,,,
RAINEY STREET / MILLENNIUM 01,91 Rainey St,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.2608,-97.7378,2,,,,,240V,40A,,,,,,,,,,
PALOMA RIDGE / PALOMA BDG C #3,13620 N FM 620,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.4777,-97.779,2,,,,,240V,40A,,,,,,,,,,
AVIATION / 5TH FLOOR,3201 Presidential Blvd,,Parks and Recreation,,,$4.17/month PIE members $2/hr Non-Members,,30.2047,-97.6696,2,,,,,240V,40A,,,,,,,,,,
PIE AE / PUBPEARSONH LN1,400 Center Ridge Dr,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.4174,-97.6642,2,,,,,240V,40A,,,,,,,,,,
AISD PAC / AISD PAC #1,Mueller Blvd,,Education,High School / Other,,$4.17/month PIE members $2/hr Non-Members,,30.3055,-97.7027,2,,,,,240V,40A,,,,,,,,,,
PIE AE / RUTHERFORD #8,1520 Rutherford Ln,,Municipal,Municipal Workplace,,$4.17/month PIE members $2/hr Non-Members,,30.3378,-97.6808,2,,,,,240V,40A,,,,,,,,,,
ENDEAVOR REG / 901 E 6TH ST 2,901 E 6th St,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.265,-97.7335,2,,,,,240V,40A,,,,,,,,,,
ENCINO STATIONS / ARM EMPLOYEES,5707 Southwest Pkwy,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.2437,-97.8462,2,,,,,240V,40A,,,,,,,,,,
PIE AE / MACC STATION 2,600 River St,,Municipal,Municipal Workplace,,$4.17/month PIE members $2/hr Non-Members,,30.2585,-97.7395,2,,,,,240V,40A,,,,,,,,,,
PIE AE / RIO2 REMOVED SC,1212 Rio Grande St,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.2772,-97.7472,2,,,,,240V,40A,,,,,,,,,,
PIE AE / NWRECCENTER 1,2913 Marilyn Dr,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.334,-97.7514,2,,,,,240V,40A,,,,,,,,,,
PIE AE / PUBACCSOAUSTIN1,5517 Manchaca Rd,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.216,-97.7963,2,,,,,240V,30A,,,,,,,,,,
ST. JOHNS WEST / JOHNS E,601 W St Johns Ave,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.3378,-97.7148,2,,,,,240V,40A,,,,,,,,,,
REPUBLICSQUARE / GABLES REPUB2,217B W 4th St,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.2668,-97.7457,2,,,,,240V,40A,,,,,,,,,,
PIE AE / PUBCHASEESCAL1,4301 Westbank Dr,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.2757,-97.8171,2,,,,,240V,40A,,,,,,,,,,
CHAMPION OFFICE / EV #1,6433 Champion Grandview Way,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.3631,-97.7936,2,,,,,240V,40A,,,,,,,,,,
FLATIRON DOMAIN / FLATIRON DOM 1,10727 Domain Dr,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.3937,-97.7256,2,,,,,240V,30A,,,,,,,,,,
SCHOOL / TRAVIS2,1211 E Oltorf St.,,Education,High School / Other,,$4.17/month PIE members $2/hr Non-Members,,30.2322,-97.7438,2,,,,,240V,40A,,,,,,,,,,
PIE AE / PUBACCPINNACLE2,7748 Hwy 290 W,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.2314,-97.8832,2,,,,,240V,40A,,,,,,,,,,
AMBEROAKS-AE / AMBER 1,9001 Amberglen Blvd,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.47,-97.7664,2,,,,,240V,40A,,,,,,,,,,
COA FLEET - PIE / MEINARD #2,4393-4799 Meinardus Dr,,Municipal,Municipal Fleet,,$4.17/month PIE members $2/hr Non-Members,,30.2114,-97.7521,2,,,,,240V,40A,,,,,,,,,,
FOUNDRY / STATION 4,310 Comal St,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.2611,-97.7278,2,,,,,240V,40A,,,,,,,,,,
PIE AE / CONVENTION CTR1,111 Congress Ave,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.2638,-97.7434,2,,,,,240V,40A,,,,,,,,,,
CEDARHILLS-AE / CEDARHILL 1,4100 W Slaughter Ln,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.1896,-97.8564,2,,,,,240V,40A,,,,,,,,,,
PIE AE / HOWSONBRCHLIBR1,2500 Exposition Blvd,,Municipal,Library,,$4.17/month PIE members $2/hr Non-Members,,30.2984,-97.768,2,,,,,240V,40A,,,,,,,,,,
YETI RAMBLERS / EVSE #1,7601 Southwest Pkwy,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.2564,-97.8718,2,,,,,240V,40A,,,,,,,,,,
AXO GROUP LLC / AUSTIN CHARGE,601-699 Brushy St,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.266,-97.7331,2,,,,,240V,40A,,,,,,,,,,
COA / DOA - CONRAC2,3819 Presidential Blvd,,Retail,Car Rental / Car Share,,$4.17/month PIE members $2/hr Non-Members,,30.2047,-97.6665,2,,,,,240V,40A,,,,,,,,,,
B AUSTIN / STATION 1,6700 Manchaca Rd,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.2064,-97.807,2,,,,,240V,40A,,,,,,,,,,
BRANDYWINE AUST / FOUR POINTS 1,11120 4 Points Dr,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.4054,-97.8481,2,,,,,240V,40A,,,,,,,,,,
PIE AE / CONVENTION CTR2,111 Congress Ave,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.2637,-97.7435,2,,,,,240V,40A,,,,,,,,,,
BUILDING 7 EVCS / STATION1,909 Reinli St,,Multifamily Commercial,Condominium,,$4.17/month PIE members $2/hr Non-Members,,30.3184,-97.7107,2,,,,,240V,40A,,,,,,,,,,
7700 PARMER / 7700 PARMER 2,7700 W PARMER LN,,Workplace,High-Tech,,$4.17/month PIE members $2/hr Non-Members,,30.4586,-97.7526,2,,,,,240V,40A,,,,,,,,,,
PIE AE / PUBACCHIGHLAND1,5930 Middle Fiskville Rd,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.3227,-97.7127,2,,,,,240V,40A,,,,,,,,,,
WHITLEY MAIN / PIE-M WHITLEY,301 Brazos St,,Multifamily Commercial,Condominium,,$4.17/month PIE members $2/hr Non-Members,,30.2652,-97.7422,2,,,,,240V,40A,,,,,,,,,,
COA FLEET - PIE / FLOOR 4 ADA,625 E 10th St,,Municipal,Municipal Fleet,,$4.17/month PIE members $2/hr Non-Members,,30.2696,-97.7347,2,,,,,240V,40A,,,,,,,,,,
COA / LOT J SW,10137 Hotel Dr,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.2076,-97.661,2,,,,,240V,40A,,,,,,,,,,
HPI 3700 / EV 6,4339 N Capital of Texas Hwy,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.3366,-97.8076,1,,,,,--,40A,,,,,,,,,,
PIE AE / MACC STATION 1,600 River St.,,Municipal,Municipal Workplace,,$4.17/month PIE members $2/hr Non-Members,,30.2585,-97.7395,2,,,,,240V,40A,,,,,,,,,,
ACC-AE / RIO GRANDE GAR2,824 W 12th St,,Education,University / College,,$4.17/month PIE members $2/hr Non-Members,,30.2764,-97.7494,2,,,,,240V,40A,,,,,,,,,,
ENCINO STATIONS / STATION 1,5707 Southwest Pkwy,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.2437,-97.8457,2,,,,,240V,40A,,,,,,,,,,
FOUNDATION COMM / JORDAN4,2724 Philomena St,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.2989,-97.695,2,,,,,240V,40A,,,,,,,,,,
DEVLOPER / TRAMMELLCROW5,San Antonio St,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.2659,-97.7489,2,,,,,240V,40A,,,,,,,,,,
THE MEDVE GROUP / ARTS S AUSTIN,400 W St Elmo Rd,,Multifamily Commercial,Apartment,,$4.17/month PIE members $2/hr Non-Members,,30.2211,-97.7704,2,,,,,240V,40A,,,,,,,,,,
TR DOMAIN 11 / STATION 1,11920 Alterra Pkwy,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.4057,-97.7194,2,,,,,240V,30A,,,,,,,,,,
PIE AE / CITY HALL STAT1,400 W 2nd St,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.2649,-97.7469,2,,,,,240V,40A,,,,,,,,,,
PIE AE / ERCOT 1,7620 Metro Center Dr,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.2165,-97.6918,2,,,,,240V,40A,,,,,,,,,,
PIE AE / PALMER STATION1,736-820 Barton Springs Rd,,Parking,Commercial,,$4.17/month PIE members $2/hr Non-Members,,30.2593,-97.752,2,,,,,240V,40A,,,,,,,,,,
HIDAUSTIN / STATION 1,611 Center Ridge Dr,,Workplace,General,,$4.17/month PIE members $2/hr Non-Members,,30.4141,-97.667,2,,,,,240V,40A,,,,,,,,,,
