name,address,longitude,latitude,description,parking,pricing,contact,networks,total_plugs,renewable_power_supply,Plugs_CCS_SAE,Plugs_CHAdeMO,Plugs_Caravan_Mains_Socket,Plugs_J1772,Plugs_Tesla,Plugs_Three_Phase,Plugs_Commando,Plugs_Type2,Plugs_Wall_AU_NZ,Plugs_Other,power_outputs_kw,source,source_date
Harrow Street Car Park,"3 John St, Box Hill VIC 3128, Australia",145.124448,-37.821964,,,,,['Chargefox'],5,,0,0,0,0,0,0,,5,0,,['unknown'],PlugShare_Scrape,20/08/2022
RACV Head Office (Service Centre Car Park),"Browns Road, Noble Park North‎ VIC‎ 3174, Australia",145.180067,-37.952893,,,,,['Chargefox'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Hart's Farm,"Gate 2, 300 Tucks Rd, Shoreham, VIC, Australia, VIC 3916",145.0067,-38.4092,,,,,['Tesla Destination'],1,,0,0,0,0,1,0,,0,0,,[2.0],PlugShare_Scrape,20/08/2022
Darebin Civic Centre Precinct,"274 Gower Street, Preston VIC 3072, Australia",145.005114,-37.740102,,,,,['Chargefox'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Nepean Country Club And & Day Spa,"205 Browns Rd, Boneo VIC 3939, Australia",144.870509,-38.398895,,,,,['Non-networked'],3,,0,0,0,1,0,1,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Oakleigh South,"23-25 Bunney Road, Oakleigh South VIC 3167, Australia",145.097119,-37.932688,,,,,['EVUp'],1,,0,0,0,0,0,0,,1,0,,[7.0],PlugShare_Scrape,20/08/2022
Quest Burwood East,"317 Burwood Hwy, Burwood East VIC 3151, Australia",145.162436,-37.853643,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Forest Hill Chase Shopping Centre,"270 Canterbury Rd, Forest Hill VIC 3131, Australia",145.163537,-37.835382,,,,,['Chargefox'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
CB Smith Reserve,99 Jukes Road Fawkner VIC 3060 AU,144.969502,-37.702614,,,,,['Chargefox'],2,,1,1,0,0,0,0,,0,0,,[25.0],PlugShare_Scrape,20/08/2022
Coburg North EV Fast Charge (Currently Out of Order),"11 Boundary Rd, Coburg North VIC 3058, Australia",144.961498,-37.718952,,,,,['Chargefox'],2,,1,1,0,0,0,0,,0,0,,[50.0],PlugShare_Scrape,20/08/2022
Energy Smart Water,"11 Dalkeith Drive, Dromana VIC 3936, Australia",144.98653,-38.334999,,,,,['EVUp'],1,,0,0,0,1,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
hacyclon caravan park ,"106 Marine Drive, Safety Beach VIC 3936, Australia",144.988947,-38.317144,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
