Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Parking type,Parking spaces,x coordinate,y coordinate
2020,33,105938,105938,457-469 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,27,144.95955,-37.81661
2020,33,110149,110149,90-96 William Street MELBOURNE VIC 3000,Melbourne (CBD),Private,9,144.95921,-37.81699
2020,33,110667,110666,Rear 394 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,10,144.96108,-37.81662
2020,34,102132,102132,376-390 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,80,144.96172,-37.81629
2020,34,102133,102133,360 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,130,144.96217,-37.81617
2020,34,102134,102134,352-358 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,4,144.96259,-37.81629
2020,34,102135,102135,344-350 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,65,144.96269,-37.81602
2020,34,102137,102137,308-336 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,43,144.96341,-37.81611
2020,34,105930,105930,377-379 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,6,144.96244,-37.81585
2020,36,102151,102151,170-174 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,3,144.96771,-37.81474
2020,36,105916,105916,201-207 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,40,144.96753,-37.81434
2020,36,108534,108534,150-154 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,84,144.96818,-37.81418
2020,36,108534,108534,150-154 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,61,144.96818,-37.81418
2020,36,110754,109416,Administration Building 110-130 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Private,10,144.96677,-37.81492
2020,37,102154,102154,St Michaels Uniting Church 122-136 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,12,144.96924,-37.81436
2020,37,102155,102155,106-120 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,327,144.96931,-37.81400
2020,37,102155,102155,106-120 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,12,144.96931,-37.81400
2020,37,102157,102157,90-98 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,118,144.97028,-37.81402
2020,37,102163,102163,68-72 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,2,144.97116,-37.81392
2020,38,102164,102164,56-64 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,4,144.97162,-37.81362
2020,38,102165,102165,52-54 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,5,144.97184,-37.81356
2020,38,102167,102167,30-34 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,9,144.97247,-37.81347
2020,38,102172,102172,8 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,7,144.97326,-37.81314
2020,38,103628,103628,96-102 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Private,10,144.97145,-37.81330
2020,38,105910,105910,25-35 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,5,144.97271,-37.81290
2020,38,105910,105910,25-35 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,52,144.97271,-37.81290
2020,38,108274,108274,2-18 Ridgway Place MELBOURNE VIC 3000,Melbourne (CBD),Private,12,144.97260,-37.81315
2020,38,108980,108980,85 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Private,29,144.97320,-37.81278
2020,38,108982,108982,93-101 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,43,144.97318,-37.81260
2020,38,108982,108982,93-101 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Private,32,144.97318,-37.81260
2020,41,101159,101159,607-619 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,36,144.95555,-37.81677
2020,41,101163,101161,St Augustines Church Car Park 653 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,20,144.95492,-37.81720
2020,41,105947,101161,Stella Maris Seafarers Club 588-600 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,37,144.95492,-37.81720
2020,41,101164,101164,655-667 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,67,144.95449,-37.81732
2020,41,105298,105298,115-129 King Street MELBOURNE VIC 3000,Melbourne (CBD),Private,4,144.95559,-37.81728
2020,41,105946,105946,616-622 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,28,144.95428,-37.81760
2020,42,101156,101155,535 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,300,144.95781,-37.81636
2020,42,101157,101157,561-571 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,62,144.95702,-37.81647
2020,42,101158,101158,573-585 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,79,144.95667,-37.81651
2020,42,105390,105390,589-603 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,26,144.95618,-37.81653
2020,42,105391,105391,140-146 King Street MELBOURNE VIC 3000,Melbourne (CBD),Private,8,144.95628,-37.81674
2020,42,105392,105392,120-138 King Street MELBOURNE VIC 3000,Melbourne (CBD),Private,3,144.95641,-37.81703
2020,42,105950,105950,520-536 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,64,144.95711,-37.81688
2020,43,101152,101152,457-471 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,37,144.96017,-37.81549
2020,43,101153,101153,473-481 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,29,144.95992,-37.81556
2020,43,101154,101154,RACV Building 483-501 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,431,144.95958,-37.81589
2020,43,105954,105954,422-428 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,17,144.96033,-37.81591
2020,43,108068,108068,111-129 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,69,144.96063,-37.81581
2020,43,110146,110146,130-148 William Street MELBOURNE VIC 3000,Melbourne (CBD),Private,68,144.95890,-37.81601
2020,43,110146,110146,130-148 William Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,232,144.95890,-37.81601
2020,43,110147,110147,114-128 William Street MELBOURNE VIC 3000,Melbourne (CBD),Private,103,144.95892,-37.81631
2020,44,597186,101146,Galleria 385 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,25,144.96292,-37.81493
2020,44,597186,101146,Galleria 385 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,213,144.96292,-37.81493
2020,44,105955,105955,Fairfax Guest House 392-396 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,8,144.96153,-37.81556
2020,46,101137,101137,235-251 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,85,144.96662,-37.81374
2020,46,105962,105962,Council House 2 218-242 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,21,144.96681,-37.81413
2020,46,105963,105963,Council House 196-212 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,109,144.96715,-37.81390
2020,46,105963,105963,Council House 196-212 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,44,144.96715,-37.81390
2020,46,105965,105965,166-186 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,30,144.96787,-37.81377
2020,46,108537,108537,QT Melbourne 131-141 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,15,144.96784,-37.81343
2020,46,108537,108537,QT Melbourne 131-141 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Private,31,144.96784,-37.81343
2020,46,111393,111393,"Substation 113, 12-14 Russell Place MELBOURNE VIC 3000",Melbourne (CBD),Private,2,144.96748,-37.81377
2020,47,101118,101118,131-135 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,36,144.96947,-37.81301
2020,47,625840,103597,111-129 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,398,144.97011,-37.81281
2020,47,625840,103597,111-129 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,549,144.97011,-37.81281
2020,47,105966,105966,130-134 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,16,144.96938,-37.81330
2020,47,108591,108591,Hero Apartments 114-120 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Private,60,144.96903,-37.81349
2020,48,103624,103624,128-134 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Private,5,144.97116,-37.81258
2020,48,103625,103625,124-126 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Private,3,144.97129,-37.81269
2020,48,105969,105969,34-60 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,932,144.97195,-37.81242
2020,48,105969,105969,34-60 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,12,144.97195,-37.81242
2020,48,105970,105970,22-32 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,25,144.97256,-37.81244
2020,48,110183,110183,19-25 Windsor Place MELBOURNE VIC 3000,Melbourne (CBD),Private,9,144.97254,-37.81205
2020,51,101169,101169,636-638 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,9,144.95471,-37.81628
2020,51,101170,101170,624-634 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,125,144.95480,-37.81596
2020,51,101171,101171,612-620 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,11,144.95533,-37.81623
2020,51,105303,105303,181-183 King Street MELBOURNE VIC 3000,Melbourne (CBD),Private,2,144.95517,-37.81590
2020,51,105307,105307,197-199 King Street MELBOURNE VIC 3000,Melbourne (CBD),Private,1,144.95503,-37.81558
2020,51,108963,108963,672-696 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,50,144.95359,-37.81663
2020,51,558316,558316,City Point On Bourke Apartments 654-670 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,323,144.95404,-37.81627
2020,51,566659,566659,NEO 200 Apartments 182-200 Spencer Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,367,144.95330,-37.81625
2020,51,566660,566660,Stadium Apartments 635-639 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,47,144.95362,-37.81616
2020,52,101172,101172,578-606 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,425,144.95614,-37.81567
2020,52,101173,101173,562-574 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,445,144.95676,-37.81551
2020,52,612820,636824,CGU Tower 181 William Street MELBOURNE VIC 3000,Melbourne (CBD),Private,450,144.95739,-37.81532
2020,53,101176,101176,494-512 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,342,144.95877,-37.81496
2020,53,101181,101181,468-470 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,15,144.95970,-37.81470
2020,53,101182,101182,458-466 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,6,144.95996,-37.81484
2020,53,105854,105854,451-457 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,11,144.95942,-37.81446
2020,53,105855,105855,459-475 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Private,29,144.95904,-37.81459
2020,53,108071,108071,155-161 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Private,9,144.96031,-37.81486
2020,53,108072,108072,163-173 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Private,12,144.96022,-37.81468
2020,53,108073,108073,175-183 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Private,13,144.96000,-37.81452
