,Location Name,Latitude,Longitude,Town,Postal Code,City,Address,Plugs_Type2,Plugs_Three_Phase,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Caravan_Mains_Socket,Plugs_wall_AU/NZ,Power 1,charging_stations,Nearby EVStations,Hospitals,Parks,Restaurants,Malls,Supermarkets
68,Corsair Solutions,-37.76693229,145.0308257,N.A,3078,Melbourne,"370 Darebin Rd, Thornbury VIC 3071, Australia",,,,2.0,,,,,,,2,0,15,20,2,11
69,Wilson’s Carpark,-37.835734,144.973525,N.A,3004,Melbourne,"1-3 Queens Road, Melbourne VIC 3004, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,19,3,19,20,2,12
70,Phillip Island Visitor Information Centre,-38.515001,145.348261,N.A,3925,N.A,"895 Phillip Island Road, Newhaven‎ VIC‎ 3925, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,0,0,7,10,2,3
71,Alto Hotel,-37.816254,144.954636,N.A,3000,Melbourne,"636 Bourke St, Melbourne VIC 3000, Australia",0.0,1.0,0.0,0.0,3.0,1,0.0,2.0,N.A,7.0,20,2,20,20,20,20
72,Oakleigh South,-37.932688,145.097119,N.A,3167,Melbourne,"23-25 Bunney Road, Oakleigh South VIC 3167, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,1.0,3,0,11,13,2,2
73,Queen Victoria Market - Underground Carpark,-37.807804,144.958282,N.A,3000,Melbourne,"460 Queen St, Melbourne VIC 3000, Australia",12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,12.0,19,9,15,20,20,20
74,Quest Mont Albert,-37.815833,145.10738,N.A,3131,Melbourne,"741-745 Whitehorse Road, Mont Albert VIC 3127, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,N.A,3.0,1,4,14,20,1,7
75,Collins St,-37.81496609,144.9700935,N.A,3000,Melbourne,"123 Collins St, Melbourne VIC 3000, Australia",0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,N.A,1.0,18,11,17,20,20,20
76,IKEA Richmond,-37.812895,145.010271,N.A,3121,Melbourne,"630 Victoria St, Richmond VIC 3121, Australia",4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,4.0,6,2,16,20,2,11
77,Melbourne Richmond Supercharger,-37.83170783,144.9965223,N.A,3121,Melbourne,"650 Church St, Cremorne VIC 3121, Australia",,,,,4.0,,,,,,16,0,15,20,5,11
